Gene	T125	Set1_MIX	M value	A value	estimated variance	adjust mvalue	pvalue	z statistic
ERLIN2	17.50584821805962	18.10582381484521	-0.5999755967855904	18.10582381484521	0.39295485150980414	-0.521226366838996	0.4056990169979441	-0.8314862069744805
ERMP1	18.556646921833412	17.595937044319836	0.9607098775135761	17.595937044319836	0.3236800369044355	0.9883661550853993	0.08234475554088443	1.7372403495757345
ERN1	14.132711956697149	13.86822743888971	0.2644845178074391	13.86822743888971	0.35812911649960866	0.0779213261588555	0.8964021378166455	0.1302076556468934
ERO1L	19.53438109414203	17.788899208197396	1.7454818859446348	17.788899208197396	0.34845219983672027	1.7920155774907849	0.0023991501673617725	3.0357791594750614
ERO1LB	17.705919569419663	17.562142796738	0.14377677268166167	17.562142796738	0.31957118993031386	0.16819982399843436	0.7660561735317165	0.29753751200387124
ERP29	19.413103810871096	18.885292054459324	0.5278117564117721	18.885292054459324	0.5103742292558879	0.6883219510446481	0.33530163600769725	0.9634900880170933
ERP44	17.69720715851968	17.586340558402583	0.11086660011709881	17.586340558402583	0.32250574911883456	0.1376023629838261	0.808546093903158	0.2423020906865624
ESAM	13.22800387022469	13.51004849444299	-0.282044624218301	13.51004849444299	0.3655919961411336	-0.4910442921220004	0.4167205017904514	-0.8121239674084748
ESD	17.646817625892485	18.74920041584243	-1.1023827899499459	18.74920041584243	0.4897439803522441	-0.9561887348139819	0.17183198844527925	-1.366340902613376
ESF1	17.10228161074927	17.191299599513528	-0.08901798876425815	17.191299599513528	0.28002514325923344	-0.09831628521297797	0.8526078995430273	-0.18579197301717698
ESPN	16.37778114028745	17.689176981792187	-1.311395841504737	17.689176981792187	0.33538521934563514	-1.2747019587873694	0.027730050208474313	-2.2010843892280088
ESRP2	15.783183213590176	17.16050717759242	-1.3773239640022457	17.16050717759242	0.2772611548273014	-1.3892573773384553	0.008330190612975972	-2.638385173586739
ESRRA	12.753362047391452	12.021582849706752	0.7317791976847001	12.021582849706752	0.38446682659610887	0.42379160751007006	0.49430646210045126	0.6834754434963352
ESYT1	19.93166146372721	19.087709747081348	0.8439517166458614	19.087709747081348	0.5410589019053891	1.0257552100711607	0.16316382122342954	1.3945094387923147
ESYT2	17.995479412011644	17.630928308488244	0.36455110352340014	17.630928308488244	0.32801097561865533	0.39557942063562623	0.4897540432873302	0.6907000732939657
ETF1	18.12750531252084	17.992322083921955	0.13518322859888343	17.992322083921955	0.3765784290263806	0.20225582707294132	0.7417101830463455	0.32958946616253026
ETFA	16.974495058840265	18.531057537112925	-1.5565624782726601	18.531057537112925	0.45667551317465493	-1.433315930521341	0.033922872405072586	-2.1209872855522063
ETFB	18.377295566554697	19.349490177557662	-0.9721946110029656	19.349490177557662	0.5807424231982172	-0.7628531644870244	0.31680998394668347	-1.0010348008473484
