Gene	N131	Set2_MIX	M value	A value	estimated variance	adjust mvalue	pvalue	z statistic
TULP3	11.831223283167041	12.595596685890152	-0.7643734027231108	12.595596685890152	0.16941822175976579	-0.902268943420599	0.028373894664476835	-2.1920777275730727
TUSC2	13.67326077528555	13.188172886949806	0.48508788833574457	13.188172886949806	0.16183145901247037	0.373968058008861	0.352570556264734	0.9296148106611228
TUT1	13.322265189883602	13.496723054718842	-0.17445786483524017	13.496723054718842	0.1576731906276021	-0.27205956072200244	0.4932498663360757	-0.6851490572949598
TWF1	18.341294316507465	18.420226593008188	-0.07893227650072276	18.420226593008188	0.1389869492388764	-0.11002555375430201	0.7678981061392687	-0.2951253749797414
TWF2	17.200714535286004	17.504667287249827	-0.30395275196382343	17.504667287249827	0.1200809263248733	-0.32484005366861135	0.3485443952741293	-0.9374164251438034
TXLNA	17.793756937521977	18.189570295040888	-0.3958133575189109	18.189570295040888	0.13378544473756018	-0.4240277786027158	0.24634040503767918	-1.1592840892352594
TXLNG	15.910560408457423	16.53087500926288	-0.6203146008054556	16.53087500926288	0.11142316134635624	-0.6383807448358628	0.05581739876005236	-1.9124585932134368
TXN	15.755816496726574	16.387392065738947	-0.631575569012373	16.387392065738947	0.11180896792441192	-0.6503959842105115	0.05176423849627263	-1.945089241694081
TXN2	16.134446554727415	16.659783502212367	-0.5253369474849521	16.659783502212367	0.11149284840739765	-0.5430213314633504	0.10389164611361794	-1.6262727494288354
TXNDC11	15.428538035643435	15.178499878198188	0.25003815744524616	15.178499878198188	0.12859685321261272	0.21181066854780028	0.5547527210807244	0.5906533347538889
TXNDC12	16.462506233526508	16.809378596377684	-0.34687236285117606	16.809378596377684	0.1120456962870871	-0.3644448678963528	0.27625742169944045	-1.0887652447323983
TXNDC15	8.886112543993455	6.33733450883968	2.5487780351537754	6.33733450883968	0.19348482925015933	2.1260503833723967	1.3424057100015878e-06	4.833370565839364
TXNDC17	17.137101394292426	17.115656948604638	0.021444445687787805	17.115656948604638	0.11458959784170836	0.0031103195604441636	0.992668946908162	0.009188241764134368
TXNDC2	12.457374455128104	11.930367826561689	0.527006628566415	11.930367826561689	0.17782821252069286	0.3588345454365425	0.3948081520189609	0.8509301561096632
TXNDC5	18.604201891502377	18.75526268443615	-0.15106079293377306	18.75526268443615	0.14661753551315843	-0.18638848470185954	0.6264194930361358	-0.48677259533196005
