Gene	number_of_undetected_samples	chi^2	pvalue	BH-corrected P-value	Bonferroni-corrected P-value
AGPS	0	24.067500805975165	0.2394560179290694	0.6313371281022491	1.0
PDCL3	0	24.06065612224455	0.2397526139134505	0.6319366876974151	1.0
FAM118B	0	24.039765214989075	0.24065944706211448	0.634143892099911	1.0
KRR1	0	24.011433169387775	0.24189309266969605	0.6372107341656573	1.0
ARHGAP31	10	12.678438442386883	0.24221043525373973	0.637862717754442	1.0
HECTD3	0	24.002045357138982	0.2423028274129373	0.6379220878530862	1.0
NPC1L1	0	23.999616112144736	0.24240893113506604	0.63801751240823	1.0
NDUFA3	0	23.995085334567058	0.24260691096304884	0.6383546291632166	1.0
PICK1	0	23.9792151865734	0.24330126727919973	0.6399972563539548	1.0
CORO2B	0	23.969216324376557	0.24373944720037025	0.6409652667091797	1.0
SLC2A8	0	23.965868971553252	0.24388626013591447	0.6411667282156899	1.0
PLA2G16	0	23.960107206630912	0.24413911105937242	0.6416467629655391	1.0
KMT2A	10	12.642930197649052	0.2443266719483588	0.6419549755190912	1.0
MPZL1	0	23.95489420070147	0.24436803627797488	0.6418789977931391	1.0
FUCA2	0	23.951771735064458	0.2445052280533298	0.6420547003482062	1.0
RGS12	0	23.94622884480063	0.24474889715249495	0.6425098239993493	1.0
CPZ	10	12.625686797425196	0.24535934397091808	0.6439272668064353	1.0
SGK3	0	23.929752315511873	0.24547420664423983	0.6440436452978575	1.0
SNRPE	0	23.919887477004597	0.24590917378851174	0.644999564678483	1.0
PNPLA3	0	23.908715512555	0.24640241717139072	0.6461077450549272	1.0
CXADR	0	23.906700202433218	0.24649146586662732	0.6461557284041066	1.0
NAGA	0	23.903898216388743	0.24661531154771538	0.6462948752841563	1.0
SSR4	0	23.898311320532905	0.24686237608342515	0.6467567644205169	1.0
ABTB1	10	12.594841595870035	0.24721475100537113	0.6474942130576583	1.0
SSNA1	0	23.888745434914767	0.24728579573791654	0.647494602200227	1.0
CEP295	0	23.88477806129351	0.2474615521601331	0.6477690902489239	1.0
PEX11B	0	23.883786376153882	0.24750549767709693	0.6476984843223285	1.0
SIAE	0	23.881153727145847	0.24762218687902338	0.6478182276614496	1.0
DTX2	10	12.583417725521226	0.24790457789424247	0.648371280042416	1.0
ERBB3	0	23.871068427993634	0.24806955647468815	0.6486170224114878	1.0
NDUFA8	0	23.838004322600245	0.24954012692931707	0.6522753231956075	1.0
ZNF644	10	12.55189378999091	0.2498155954710549	0.6528085360335177	1.0
CWC27	0	23.828424803363486	0.24996730361608754	0.6530181304135376	1.0
SLC2A6	0	23.826819653774116	0.2500389305648955	0.6530184594936205	1.0
GOLT1A	0	23.81748568151204	0.25045572107471015	0.6539199830118146	1.0
TMEM222	0	23.803763518979334	0.25106932089052564	0.6553346978259991	1.0
CD14	0	23.799579756549356	0.2512566062525904	0.655636167115688	1.0
LAMB2	0	23.799513152589903	0.25125958853891606	0.6554566758428793	1.0
CCDC117	0	23.79558557838544	0.25143549401134146	0.6557282600815482	1.0
PRKDC	0	23.794609908173232	0.25147920470224194	0.6556550318428706	1.0
MAN2B1	0	23.787501793008026	0.2517978098411835	0.6562983439724682	1.0
ODF2	0	23.777801501522685	0.2522330481131732	0.6572452006897607	1.0
GOLPH3	0	23.77672511292442	0.25228137577447707	0.6571836294775525	1.0
BMI1	0	23.768565756128414	0.2526479198329398	0.657950798926216	1.0
MBLAC2	0	23.752466864518546	0.25337219781412024	0.6596488833056899	1.0
KCNAB2	0	23.75224348019536	0.2533822576621183	0.6594870787198993	1.0
LOXL2	0	23.751229014650843	0.2534279463383754	0.6594180723385705	1.0
GLB1	0	23.74853982960664	0.2535490868285995	0.6595453745387637	1.0
TRAM2	0	23.747962941984362	0.25357507918795863	0.6594251703370233	1.0
LPXN	0	23.742795227965406	0.25380799763923095	0.659842995285823	1.0
DAPP1	10	12.478997453619721	0.25427663364883196	0.6608732200098981	1.0
LRIF1	10	12.470240223424513	0.2548164992182198	0.6620879338150786	1.0
DDA1	0	23.701627257991554	0.25566871417796433	0.6641133010771753	1.0
ACAT2	0	23.673828844606312	0.2569303757693478	0.6672007739270553	1.0
ATP9A	0	23.671393634694553	0.25704110102466704	0.6672985718187276	1.0
KLHDC2	0	23.666694803409676	0.2572548409741561	0.6676636722412524	1.0
UBA2	0	23.65302972979055	0.2578771198760448	0.6690885613147491	1.0
MRPL18	0	23.64860488371023	0.2580788361018731	0.6694217580569176	1.0
HDDC3	0	23.644401712666525	0.25827054553583734	0.6697288166890409	1.0
ARMC5	0	23.623788951740202	0.25921209993153643	0.6719795937197622	1.0
ZCCHC17	0	23.620287153793853	0.25937228572173143	0.672204053773148	1.0
AVL9	0	23.61922667623049	0.25942080923775407	0.6721390782321724	1.0
ELOVL6	0	23.61547855278571	0.25959235850260826	0.6723927992638461	1.0
CWF19L1	0	23.60245999262597	0.2601888038589742	0.6737466247927449	1.0
SDHAF1	10	12.383182058269101	0.2602296218096982	0.6736613197244824	1.0
SASH3	0	23.59270879630092	0.26063615906387544	0.6745225391698425	1.0
SNX19	10	12.37460716577608	0.26076733677294284	0.6746708461040474	1.0
KCT2	0	23.58222824732274	0.26111755157510175	0.6753856127259712	1.0
GFOD2	0	23.57470465444692	0.26146349362508875	0.676088926182881	1.0
C9orf41	0	23.572974102974204	0.26154310960284854	0.6761033739039953	1.0
THY1	0	23.565011479955466	0.2619096489638846	0.6768593163517708	1.0
TSTD1	0	23.553997537116583	0.2624172164481745	0.6779791903313092	1.0
MRPL24	0	23.53367943962312	0.26335528784070555	0.6802103630795147	1.0
BAD	0	23.528829567725644	0.2635795345167544	0.6805970847445626	1.0
CD59	0	23.52635257476732	0.26369411415938215	0.6807004931084334	1.0
GNS	0	23.513244273809025	0.26430102714369963	0.6820743941518532	1.0
NAT14	0	23.51061398933648	0.2644229214913108	0.6821961982994751	1.0
SBF2	0	23.509805519765706	0.264460395662921	0.6821001958738937	1.0
MAGIX	10	12.288089824950914	0.26623833457420654	0.6864920128927804	1.0
PTPN1	0	23.459212378095945	0.2668125486459836	0.687778438268069	1.0
ATP6AP2	0	23.455446295196005	0.2669881951974574	0.6880370165740346	1.0
GBP1	0	23.455160045221724	0.26700154877260046	0.6878773328463076	1.0
POGZ	0	23.443245492984826	0.26755775748020494	0.6891159049821521	1.0
CTBP2	0	23.43646290628799	0.2678747338210809	0.6897377908057322	1.0
EIF1	0	23.4344426784372	0.2679691950496479	0.6897865440779127	1.0
PDRG1	0	23.432430122581632	0.26806331955707013	0.6898344033572053	1.0
RNF121	0	23.43069417821433	0.26814452496112995	0.6898489990056337	1.0
ZBTB45	10	12.256927256181168	0.26822930174287196	0.689872771843889	1.0
BSG	0	23.42731296673186	0.2683027408984068	0.6898673796805037	1.0
ARMCX2	10	12.248449498565991	0.26877281214165394	0.6908815348409022	1.0
ABR	0	23.41412232779461	0.26892055867627995	0.6910668155291123	1.0
C2orf69	0	23.412246369580657	0.26900850063803866	0.6910983505843057	1.0
THNSL1	0	23.410735899692146	0.26907932294322995	0.6910858988865352	1.0
WDFY4	0	23.408408576872798	0.26918846972023386	0.6911718566080675	1.0
B3GALT6	0	23.398514882467154	0.26965279172094003	0.6921694622786243	1.0
MTCH2	0	23.39718776487081	0.26971511515166635	0.6921349105591932	1.0
RUVBL1	0	23.383315336327904	0.2703671562024102	0.6936132689878125	1.0
PUS1	0	23.377122265573433	0.2706585834702498	0.6941659204812669	1.0
FBXW8	10	12.212705931911314	0.27107313301150265	0.6950339482858097	1.0
TNIK	0	23.36476179261098	0.271240850867937	0.6952687878127614	1.0
UBP1	0	23.361632310727252	0.27138840321420354	0.6954518200211338	1.0
PAPSS1	0	23.351737014016532	0.27185530654260587	0.6964528792857277	1.0
ARHGAP30	0	23.349899148990502	0.27194208337777154	0.6964798226273661	1.0
SLC25A22	0	23.34926973733522	0.2719718059474493	0.6963606682697097	1.0
APOL6	0	23.339058046138465	0.27245432982397105	0.6974006149894416	1.0
SUZ12	0	23.33132961201378	0.2728198894906704	0.6981406698566245	1.0
JUN	10	12.176407912650735	0.27342369376897535	0.6994898025748044	1.0
CEPT1	0	23.313363527061796	0.27367094410490916	0.6999262762559886	1.0
POMK	10	12.169800985882087	0.2738531190649708	0.7001961188186948	1.0
EFNB1	0	23.295766089263402	0.27450622674391445	0.7016695686683937	1.0
HSDL1	0	23.28698676994746	0.2749235726046837	0.7025397282032949	1.0
SLC35A5	0	23.286580050235496	0.2749429170819315	0.7023926326459526	1.0
MMTAG2	0	23.281127352935734	0.27520234550989	0.7028587867846267	1.0
TMC6	10	12.135877009487393	0.27606570983094625	0.7048666837813901	1.0
ISOC1	0	23.26281945206962	0.2760745727198032	0.7046923064980332	1.0
PTGR2	0	23.26101154346052	0.27616080343284904	0.7047154562034675	1.0
GPR108	0	23.260185998766655	0.2762001847978801	0.7046190747930277	1.0
CD2BP2	0	23.259913852472405	0.2762131679322793	0.7044554210347687	1.0
RRP9	0	23.239839975514712	0.2771719227030391	0.7067032858868945	1.0
UBE2E2	10	12.118822623648715	0.277182876425822	0.7065339688520883	1.0
FN3K	0	23.23943591259575	0.27719124358588876	0.7063581550418309	1.0
RFXAP	10	12.117161484225315	0.27729186449997334	0.706417461221271	1.0
KLHL36	10	12.113323260759355	0.2775438096540451	0.7068621342917999	1.0
PARVB	0	23.230895236219194	0.27759983488876117	0.7068077201112506	1.0
ARL6IP1	10	12.11025109226614	0.27774558846879976	0.7069817334129176	1.0
NSL1	0	23.219297910879828	0.2781552874277349	0.7078273168229319	1.0
ZC3H8	0	23.21888365120308	0.27817514174957897	0.7076806600554052	1.0
CHST13	0	23.21071332140793	0.2785669119652674	0.7084799796654935	1.0
NUDT18	0	23.21017395255089	0.2785927875429142	0.7083485324692192	1.0
RTN4	0	23.201030076632758	0.2790316924465907	0.7092670323169253	1.0
PSMG4	0	23.19360274097733	0.2793885349010851	0.7099764856014497	1.0
GNPAT	0	23.17438940942682	0.28031300640460516	0.7121275904014628	1.0
MTCH1	0	23.165788857436894	0.28072747510817936	0.712982210835095	1.0
GLOD4	0	23.164396600694985	0.2807946066705122	0.7129544461278254	1.0
CALCOCO1	0	23.164163547802847	0.28080584498719424	0.7127848199744428	1.0
MTRR	0	23.137309206998808	0.2821027739978263	0.7158779202339949	1.0
CASP4	0	23.1363899902226	0.282147236091438	0.7157918631175286	1.0
AP2S1	0	23.126182590985493	0.28264126818190866	0.7168460711761654	1.0
LRCH1	0	23.12382596298399	0.28275540705057883	0.7169364610196937	1.0
TCAF1	0	23.12291753120069	0.2827994132037218	0.7168490260309719	1.0
ALG2	0	23.116755631251937	0.2830980241783718	0.7174068409603412	1.0
RBKS	0	23.096085735993853	0.28410119255843724	0.719749290329045	1.0
SLC35B2	0	23.09425243108893	0.28419027862420737	0.7197753229824975	1.0
IFT20	10	11.987183122491832	0.28591520279566	0.7239433177523601	1.0
ADCK3	0	23.05569668334685	0.2860679951506758	0.7241294345097345	1.0
PLEKHO2	0	23.04925122546873	0.28638267397951356	0.7247251209351336	1.0
SEC24A	0	23.03875929570907	0.2868953841157619	0.7258214800912058	1.0
DNMT3A	0	23.034169441482522	0.28711986204232853	0.7261882304161137	1.0
LEO1	0	23.026026166566197	0.2875184057393728	0.7269949057634807	1.0
ATP7B	0	23.01591060308184	0.2880139695777262	0.728046383657175	1.0
TATDN1	0	23.009492407290757	0.28832868191493805	0.7286402467983203	1.0
ABCG2	10	11.948261055951738	0.28853412627126795	0.7289577248230955	1.0
PLP2	0	22.992757727144213	0.28915029106630774	0.7303123916782601	1.0
CIR1	0	22.986845023753457	0.28944093959833056	0.7308443741641009	1.0
COX7C	0	22.96254183412345	0.29063756016709374	0.7336630284704442	1.0
LYPLAL1	0	22.95375381651047	0.29107103221281144	0.7345542241502091	1.0
PON2	0	22.95322723543031	0.2910970190702626	0.7344168715935657	1.0
C2CD2	0	22.944106254495768	0.2915473751359878	0.7353499522554477	1.0
SLC28A1	10	11.902448752604872	0.2916383156188542	0.7353762386932622	1.0
FGD2	0	22.940795992597184	0.2917109316098517	0.7353563175249174	1.0
CUL9	10	11.900952513091145	0.2917400937642906	0.7352268974473691	1.0
SMIM1	10	11.900553472762999	0.2917672417527717	0.7350924741870521	1.0
AFF4	0	22.93868399224592	0.29181531374324804	0.7350108274729963	1.0
TAP1	0	22.928138073608835	0.29233688347334646	0.7361215210262126	1.0
TMEM64	0	22.92486224567846	0.2924990165785204	0.7363267691322015	1.0
FAM32A	0	22.916514638105806	0.29291242916324123	0.7371642919669006	1.0
ESRP2	0	22.912409298647304	0.2931158806501011	0.7374730958615353	1.0
MICU1	0	22.910200152636694	0.2932253980734222	0.7375454587178641	1.0
PAF1	0	22.89909178647935	0.2937764832861776	0.7387281447832214	1.0
OTUD7B	0	22.893147600398198	0.29407164305686667	0.7392668087086054	1.0
TPR	0	22.870243614048448	0.2952106983262577	0.7419260615888033	1.0
HLA-E	0	22.866341388855865	0.2954050401893474	0.7422102426545556	1.0
43353	0	22.860043269527285	0.29571887461769136	0.7427944119591241	1.0
FSIP2	0	22.83766675420328	0.29683559273824855	0.74539440980985	1.0
ALDH1A1	0	22.832301531594254	0.2971037424773811	0.7458626938004181	1.0
MUL1	0	22.818862759845874	0.29777607039608045	0.7473451088011549	1.0
VDAC1	0	22.81221970509282	0.2981087682416591	0.7479745550415035	1.0
WAC	0	22.80979929901511	0.29823004512195034	0.748073332078762	1.0
PDXP	0	22.808461154481908	0.2982971074862071	0.7480361017769163	1.0
PRCP	0	22.80408704469452	0.2985163860849494	0.7483804979725069	1.0
LGALS2	10	11.790469441179525	0.29932438701797864	0.7502002268482983	1.0
BCL7A	0	22.78120675576712	0.29966504458288223	0.7508479704185085	1.0
SERPINA6	0	22.780419204788124	0.2997046311615905	0.7507411948433369	1.0
TNFSF10	10	11.783119318224843	0.2998337722282863	0.7508587446561389	1.0
DPM1	0	22.7690342473975	0.30027726618180206	0.7517632324666661	1.0
CRB3	0	22.767254641726968	0.3003668376690095	0.7517813999537035	1.0
SLC25A4	0	22.764763508120826	0.3004922499635836	0.7518892380595641	1.0
SPATA20	0	22.758543679079864	0.30080552043652004	0.7524669455345762	1.0
MYO1G	0	22.754572690202153	0.3010056314798991	0.7527613451001968	1.0
RAB21	0	22.745722597070273	0.301451915180367	0.7536710488207753	1.0
DOK1	0	22.735594768830826	0.30196313701453287	0.7547425644098874	1.0
CYCS	0	22.723459284086303	0.30257640970802624	0.7560684951746658	1.0
VLDLR	10	11.742956729641445	0.30262777691838844	0.7559900127449786	1.0
STAT2	0	22.721473578501037	0.30267683201837536	0.7559057989674111	1.0
NFKBIE	0	22.720005626399256	0.3027510835057272	0.7558845395456005	1.0
PDE8A	0	22.70813141476853	0.3033521172457137	0.7571781598264835	1.0
MTX3	0	22.702104237250317	0.30365747653583697	0.75773326043765	1.0
PRKAR1B	0	22.70043291482155	0.3037421857309794	0.7577376078342078	1.0
GAS7	10	11.725646132436218	0.30383756302110687	0.75776855900376	1.0
KRT18	0	22.697909156449864	0.30387012751288495	0.757642881401905	1.0
PTGIR	0	22.694055783581124	0.30406553848982554	0.7579231885992295	1.0
PGAP1	10	11.718097934808034	0.3043661272532729	0.7584654407105433	1.0
ASMTL	0	22.684537101515986	0.30454858056663464	0.7587130895567579	1.0
ADAR	0	22.68160283384425	0.3046975808759669	0.7588772855577327	1.0
FECH	0	22.667545359273138	0.3054120366205801	0.7604493267327584	1.0
HAUS2	0	22.665460734658133	0.3055180735101659	0.7605060140006392	1.0
SERPINA7	0	22.656338748235797	0.3059823416797684	0.7614541489267915	1.0
TNFAIP8L1	0	22.65506514917058	0.3060471968009851	0.7614080763779343	1.0
CD3E	0	22.654457512948863	0.3060781422770777	0.7612776888389299	1.0
NRM	0	22.6476165056892	0.30642667188005696	0.7619370526219875	1.0
RAB18	0	22.643474698011424	0.30663780398995294	0.7622545083941862	1.0
NT5C3B	0	22.64083547977307	0.30677238712902916	0.7623815541903193	1.0
TK2	0	22.637391811804193	0.3069480467699109	0.7626105851875942	1.0
MARVELD2	0	22.63240353974321	0.3072026057250037	0.7630354631728199	1.0
FLOT1	0	22.628472605926483	0.3074032987135104	0.763326353221993	1.0
RAPGEF4	0	22.627912755760676	0.30743188831004264	0.7631898439618428	1.0
GATA4	10	11.663743677777635	0.3081909894114883	0.7648663875801964	1.0
ARL5B	0	22.611540751862737	0.30826867304419125	0.7648513422745447	1.0
PPP2CB	0	22.592520361691253	0.3092425743066093	0.7670593240473282	1.0
FKBP2	0	22.59079819089177	0.3093308477191313	0.7670699517292494	1.0
ITIH4	0	22.57432995758483	0.310175740819225	0.7689563086053154	1.0
ADI1	0	22.571762412833774	0.31030759438039424	0.7690744259094004	1.0
DOCK11	0	22.55661123363281	0.3110863652233263	0.7707953807880192	1.0
PSMB8	0	22.550138192457748	0.31141944334069366	0.7714113848740318	1.0
EXOG	0	22.545216360746895	0.31167284773878745	0.7718297501080114	1.0
SRRM1	0	22.543720451447875	0.311749890732774	0.7718112637740375	1.0
ENPP4	0	22.542615512720456	0.31180680524278886	0.7717429680982089	1.0
CFP	0	22.526822315734726	0.3126209924948194	0.7735485029680806	1.0
INPP4A	0	22.525584850449327	0.3126848422329809	0.7734969296082921	1.0
LRRC41	0	22.52253403552546	0.31284228963235944	0.77367685654274	1.0
SERPINA4	0	22.518360805042207	0.313057741115195	0.7740000946413308	1.0
PAXIP1	0	22.51766358120914	0.3130937455058053	0.7738796150756481	1.0
TOR2A	0	22.516723758681024	0.3131422815917355	0.7737901671475435	1.0
TSPAN33	0	22.516323902622833	0.3131629330991722	0.7736318820651176	1.0
LIMCH1	0	22.50925105466802	0.31352836384398497	0.7743251884767751	1.0
PHF6	0	22.498906350843004	0.3140633069538236	0.7754366538008303	1.0
ERGIC1	0	22.488147075533398	0.3146202755715364	0.7766018856202275	1.0
HMOX2	0	22.47706885704246	0.3151943798970603	0.7778087737367878	1.0
RSL1D1	0	22.47587328645978	0.3152563756133531	0.7777516149315922	1.0
UBQLN4	0	22.47485449253847	0.3153092104884331	0.7776718928951821	1.0
ZDHHC17	0	22.473176123986633	0.31539626273376714	0.7776765841110947	1.0
MXRA7	0	22.466526632029343	0.31574129605354806	0.7783172083284897	1.0
RAB8B	0	22.463137140256364	0.3159172600782839	0.7785408354816424	1.0
INPP5B	0	22.45983952683224	0.3160885111512547	0.778752730602754	1.0
HK1	0	22.459119987923255	0.3161258855712045	0.7786347661601433	1.0
ESD	0	22.455886058042765	0.3162938959029237	0.7788385417313028	1.0
VIMP	0	22.454341862605727	0.3163741395398757	0.7788261499778125	1.0
ADAMTSL5	10	11.547454697723456	0.31648419451110915	0.7788871324359903	1.0
ITGAE	10	11.545790300797977	0.31660397837995996	0.7789720190043573	1.0
TARS2	0	22.441055020354156	0.31706509389209775	0.7798964456010041	1.0
H1F0	0	22.43392338369655	0.31743633464933346	0.7805993657383852	1.0
SLC17A2	10	11.533076840721762	0.3175199548721841	0.7805948177248068	1.0
IRAK3	0	22.428669386288565	0.3177100014426144	0.7808518415434331	1.0
CARHSP1	0	22.427952326314422	0.3177473622085344	0.7807335644472814	1.0
COX6C	0	22.419370119657852	0.3181947236120384	0.7816224880981029	1.0
MYH3	10	11.517907284594013	0.3186152236989119	0.7824449685512671	1.0
ZCRB1	0	22.410783418779832	0.31864269815309815	0.7823020866215714	1.0
NEDD1	0	22.398450104085956	0.31928679884016664	0.7836727583464773	1.0
LMF2	0	22.389770392752897	0.3197405600159365	0.7845756406839194	1.0
ZBTB10	0	22.388213808493347	0.31982197656123157	0.784564628507582	1.0
GLG1	0	22.382214172275628	0.3201359014291992	0.7851238420389034	1.0
CNRIP1	0	22.38103978908318	0.32019737142321614	0.7850637834116062	1.0
KAT7	0	22.369968627486987	0.32077720939440696	0.786274356789887	1.0
SFXN1	0	22.366178692834257	0.3209758465590869	0.786550149349112	1.0
SSBP4	10	11.483390653772183	0.3211168487847645	0.7866845976264094	1.0
SP1	0	22.3520055876856	0.32171933515446505	0.787949232492821	1.0
RAPGEF5	10	11.474721987558457	0.3217471822845039	0.7878061704569368	1.0
PRDX3	0	22.350063619639197	0.3218212863378764	0.7877764160074578	1.0
ARVCF	0	22.341214396613505	0.322286104712376	0.788702838782993	1.0
POLR1E	0	22.340653087560312	0.32231560177837354	0.7885637265046572	1.0
ZFYVE1	0	22.33272986789769	0.3227321424196836	0.7893713595926541	1.0
SYPL1	0	22.329314080642185	0.32291181648876505	0.7895993627823001	1.0
MEGF9	10	11.458606723266334	0.3229211875650667	0.7894109223853731	1.0
TMA16	0	22.327875960472728	0.32298748095212176	0.789361697494174	1.0
SEMA4G	0	22.32733511131692	0.3230159396211469	0.789220057934707	1.0
CCDC101	0	22.326454232332793	0.3230622933412819	0.7891222051580442	1.0
SLC25A14	10	11.452445649221268	0.3233707804892731	0.7896645289327624	1.0
RAB34	0	22.311027279045792	0.32387473343902445	0.7906837584866641	1.0
COL28A1	10	11.445005447403831	0.3239142721702287	0.7905689598425171	1.0
HDAC10	0	22.305443310354875	0.32416910454814646	0.7909795436383172	1.0
C14orf142	0	22.297650833449044	0.32458016721108435	0.7917710115221243	1.0
HDAC5	0	22.286127720440174	0.3251885913744883	0.7930433658272902	1.0
PDK2	0	22.281764847140877	0.32541912861027117	0.7933937270682345	1.0
VIM	0	22.28081275405385	0.3254694507158508	0.7933046419503244	1.0
MRPS18B	0	22.269698115287206	0.3260572463008009	0.7945253016182537	1.0
NUP37	0	22.232434215295957	0.3280325091195678	0.7991253416348393	1.0
SESN2	10	11.38761952583216	0.3281266399120121	0.7991414939510417	1.0
CD72	10	11.38678706111487	0.3281880123159182	0.799077876961152	1.0
ABCC1	0	22.2277143122071	0.3282832002783248	0.7990966066476387	1.0
INPP5F	0	22.22582982966003	0.32838332341866966	0.7991273362064242	1.0
TMEM129	10	11.379912910879169	0.3286950907076099	0.7996729524327654	1.0
HSPA12A	0	22.210130532409107	0.32921812884102164	0.8007321360066714	1.0
PXK	0	22.207092714771104	0.3293798074832265	0.8009120824665356	1.0
MAN2A2	0	22.20271671428111	0.3296127886413296	0.8012652644826359	1.0
STON2	10	11.356900591621509	0.33039638458705334	0.8029564077790203	1.0
PPP1R3E	10	11.352023972594097	0.3307576561148784	0.8036205568760799	1.0
ALKBH6	0	22.17483776747229	0.3310993464948856	0.8042367903026038	1.0
TSNAX	0	22.170448185121185	0.3313337635132911	0.8045921994594223	1.0
IGSF1	10	11.34089051621945	0.3315834240393468	0.8049844263028587	1.0
MAP3K3	10	11.339722487952827	0.33167013520709593	0.8049809579714077	1.0
RNASE4	0	22.161877927840955	0.3317917202162089	0.8050621096531976	1.0
CRTC1	10	11.33694917850957	0.3318760777311791	0.8050529131258589	1.0
MRVI1	10	11.332728755920861	0.33218964240234544	0.8055995762242754	1.0
OARD1	0	22.149572844138888	0.3324498941516536	0.8060166932007041	1.0
METTL17	0	22.131343390961252	0.3334263455366351	0.8081695365674332	1.0
CBR3	0	22.102170771773572	0.3349924204601246	0.811750006914916	1.0
SUGP2	0	22.100383642861487	0.3350884971141321	0.8117674387648192	1.0
SMDT1	0	22.09895402459364	0.33516536534360003	0.8117383404092016	1.0
IGKC	0	22.090936881922943	0.3355966227540303	0.8125673265144641	1.0
IFITM3	0	22.080288514657088	0.33616991387718154	0.813739682862523	1.0
CST3	0	22.07962717553352	0.33620553794087954	0.8136102750434692	1.0
TOR1A	0	22.078091538971876	0.3362882657947656	0.8135948957625416	1.0
RAMP2	10	11.273330286312735	0.3366233921043715	0.8141900000236294	1.0
SLC25A29	10	11.271102261511036	0.3367904493773362	0.8143783887114673	1.0
UBE2T	10	11.270507672132986	0.33683504081385024	0.814270626721253	1.0
SH3BP1	0	22.06480569542617	0.3370044908096805	0.8144646770481111	1.0
QPRT	0	22.06453840886623	0.3370189089339861	0.8142840463740992	1.0
MPST	0	22.036137550622733	0.3385529448519997	0.8177741458167981	1.0
STRADA	0	22.03323845029513	0.3387097609701279	0.8179366068059699	1.0
CLMN	0	22.03277078266606	0.33873506162061506	0.8177814744332745	1.0
PDZD8	0	22.031246800077607	0.33881751604409804	0.8177643694584428	1.0
TSN	0	22.030838520731777	0.3388396077755173	0.8176016216152706	1.0
ORMDL1	0	22.030339420567064	0.338866614883607	0.8174508171505501	1.0
LIN52	10	11.240335868668897	0.33910283264446994	0.8178046396994835	1.0
KIF5A	0	22.020893006043554	0.33937800792036743	0.8182522033623854	1.0
TMEM30B	0	22.01878179402045	0.33949236127037674	0.8183118858491293	1.0
CHML	0	22.017747799373236	0.3395483754091156	0.818230953195634	1.0
NOTCH3	0	22.01759286212134	0.33955676921221867	0.8180353398088085	1.0
FTSJ3	0	22.00981732243386	0.33997816531514613	0.8188345421474761	1.0
DNAJC10	0	21.998751148213902	0.3405784124503533	0.8200639707115942	1.0
RNF34	0	21.996853773778604	0.3406813897794026	0.8200957124025524	1.0
PRKCD	0	21.994522721691293	0.34080792865539716	0.8201841402924221	1.0
C1QC	10	11.20730909351385	0.3415965418131542	0.8218654416173702	1.0
CEBPD	10	11.199501117035005	0.34218781599484255	0.8230711939638917	1.0
ATP6V1H	0	21.96650873275087	0.34233073393064684	0.8231981550786196	1.0
ANKRD49	10	11.193867169148	0.3426148674808021	0.823664539274063	1.0
KIF12	0	21.95564979859228	0.34292204979705115	0.8241860738938075	1.0
PRC1	0	21.952557373838218	0.34309055158344476	0.8243741140782954	1.0
GRAMD1A	10	11.18444960555202	0.34332948249506146	0.824731237145554	1.0
GRB7	0	21.944994679010083	0.3435028296023435	0.8249306712485416	1.0
RAB37	0	21.93308472866792	0.3441526652327886	0.8262739988357145	1.0
UQCR10	0	21.925376541543333	0.34457361267591796	0.8270672285332874	1.0
CYP27A1	0	21.921577463012436	0.344781188912619	0.8273480289907907	1.0
MAD2L2	0	21.91296823286052	0.3452518460117443	0.8282598134030105	1.0
DEK	0	21.90733324892706	0.3455601003473467	0.8287816167206715	1.0
MFAP1	0	21.896759658723973	0.34613893265897394	0.8299519222825963	1.0
SERPINH1	0	21.888382947424084	0.34659788759446175	0.8308342539108187	1.0
RAC3	10	11.133625138855773	0.3472026278547287	0.8320654946725892	1.0
LSM7	0	21.857350227535527	0.3483011257027803	0.8344790611341796	1.0
SP110	0	21.845222742233855	0.34896801579470194	0.8358575631400506	1.0
RB1	0	21.83850220947353	0.34933788446392455	0.836524095125596	1.0
PAIP2B	10	11.09357143346731	0.3502745675244805	0.8385472149937301	1.0
ANAPC13	0	21.82092035986763	0.35030654556324164	0.8384040043577269	1.0
DNAJB6	0	21.81885421724688	0.3504204764583776	0.8384569587357513	1.0
PIGA	10	11.091449402790648	0.3504377982028046	0.8382787875815123	1.0
GNA11	0	21.817063948024007	0.3505192118479244	0.8382539831911741	1.0
IGHV1-3	0	21.816640839786665	0.35054254900919807	0.8380903403405774	1.0
PRDX2	0	21.79844991721863	0.3515467124850671	0.840271165958157	1.0
GLO1	0	21.797191021072162	0.35161626422239367	0.8402175146894614	1.0
C10orf35	10	11.074772687418267	0.35172228304526726	0.8402510099535511	1.0
IFI30	0	21.794795914899638	0.3517486105685243	0.8400941580340827	1.0
SNX30	0	21.792918215347086	0.3518523858847476	0.8401223111857254	1.0
MEST	0	21.76960839424899	0.3531420665614789	0.8429813104824847	1.0
DDX59	0	21.759681134094528	0.3536921113831984	0.8440737008786912	1.0
CLEC14A	10	11.045411738012609	0.3539909729888072	0.8445662372797221	1.0
RFC3	0	21.75390249514655	0.35401250876191903	0.8443970338267449	1.0
ITPK1	0	21.747750936759573	0.35435375829003823	0.8449903066482818	1.0
ENPP3	0	21.74423625566654	0.35454881177947833	0.8452347423602129	1.0
GRWD1	0	21.743567547071166	0.35458592963961566	0.8451026344985935	1.0
DOCK5	0	21.728731190137708	0.3554099972816487	0.8468456835829109	1.0
