Gene	number_of_undetected_samples	chi^2	pvalue	BH-corrected P-value	Bonferroni-corrected P-value
STARD4	0	32.823153872097535	0.035279031048968124	0.1300780745136156	1.0
PROSC	0	32.808823862494705	0.03540639650936357	0.13049500376110473	1.0
NUBPL	0	32.790203320884906	0.03557251284212748	0.13105436054342487	1.0
RANBP6	0	32.7889218181529	0.03558397098177623	0.13104371249054933	1.0
TIMM8B	0	32.78739540335412	0.03559762324482648	0.13104114997783162	1.0
HMGN4	0	32.78269747291883	0.035639671062367366	0.13114307647566525	1.0
COQ6	0	32.730049506849205	0.03611394246039018	0.13283473076550284	1.0
ANGEL2	0	32.716875498814765	0.03623350048347143	0.13322083732509846	1.0
SMYD5	0	32.710541439596085	0.036291110186580225	0.1333789574784858	1.0
ITFG3	0	32.69087685750009	0.036470487615869504	0.13398429742386814	1.0
PECR	0	32.68281491401938	0.03654425689645504	0.13420132619031921	1.0
NOL10	0	32.66892418758618	0.03667167512975334	0.13461511614149407	1.0
PPP6R3	0	32.66627766537279	0.03669599651592194	0.13465027568497995	1.0
ANKRD16	10	19.28846465746114	0.036748072665225076	0.13478720789216891	1.0
CMSS1	0	32.64939210970039	0.03685151440166864	0.1351123568970051	1.0
C1orf198	0	32.64908695423486	0.03685433034240766	0.13506845867464254	1.0
NCAPG	0	32.63164005822504	0.03701564930294299	0.135605264774881	1.0
ENOSF1	0	32.630677860893975	0.03702456442948402	0.1355835392680343	1.0
LPIN1	0	32.615335584168676	0.037166976555301226	0.1360504997513291	1.0
C1RL	0	32.61293081659148	0.03718934282963432	0.13607783175602975	1.0
MSMO1	0	32.605658996893375	0.03725704996035329	0.13627098009127217	1.0
SLC25A10	0	32.59165724704319	0.037387729715677595	0.13669420956496536	1.0
GUF1	0	32.57458544339101	0.037547617729495754	0.1372238466280451	1.0
DNM1	10	19.216786269284746	0.037594012148982454	0.1373384451826627	1.0
BIN2	0	32.56598195017154	0.03762842650349527	0.13740920402096055	1.0
ATOH7	10	19.210729846528107	0.03766630406446245	0.13749254796991828	1.0
PDLIM4	0	32.55227737379557	0.0377574689768008	0.1377702613524258	1.0
ANKRD35	0	32.53075408313543	0.03796093208348286	0.13845734533484386	1.0
PRKCA	0	32.5188052662938	0.038074309125501	0.1388154352268266	1.0
SRI	0	32.513890287169026	0.038121033052799624	0.13893032516808418	1.0
HLA-DMB	0	32.49520244870276	0.03829915636628433	0.13952381136548656	1.0
MOCS1	0	32.483558145573774	0.03841052019960045	0.13987371650037914	1.0
NXN	0	32.476907944806236	0.03847425124444853	0.1400499548089073	1.0
CRIP2	0	32.45583790577987	0.03867679708642777	0.14073115051408158	1.0
VWA5A	0	32.4460614339766	0.038771101440358446	0.14101810810624996	1.0
CDKN2AIPNL	0	32.44407377044525	0.03879029966730079	0.14103177024739574	1.0
NUGGC	10	19.114610121881434	0.03883087735258061	0.1411231209156859	1.0
PIK3CD	0	32.43886961448848	0.03884060525083049	0.14110232607630663	1.0
PNP	0	32.42984781515409	0.03892795196398332	0.1413634136330257	1.0
PANK1	0	32.42616748681809	0.038963634326102746	0.14143675369646122	1.0
OBSCN	0	32.41551958434344	0.0390670349664899	0.14175575301905138	1.0
CCSMST1	0	32.35838396781401	0.039626070980143493	0.14372712718890013	1.0
MICALL2	0	32.34753922299122	0.039732982983418395	0.1440576949533784	1.0
FAM213B	0	32.3459806280203	0.03974836940680064	0.14405629277472629	1.0
PROS1	0	32.336948161722326	0.03983764254117254	0.14432256617553701	1.0
PQLC3	0	32.328524059865785	0.03992106410987637	0.14456743795222082	1.0
RNLS	0	32.30931429204361	0.040111876566579045	0.14520085956502832	1.0
YIF1A	0	32.30790358745306	0.040125921255957986	0.14519415167617444	1.0
CEP104	0	32.30350253792799	0.040169765417154044	0.1452952346751952	1.0
FRMD6	10	18.99914759373004	0.04027351052948881	0.1456128153863109	1.0
HYI	0	32.27818982355453	0.04042276678733279	0.14609462962750708	1.0
FDXR	0	32.278140171109214	0.04042326445876941	0.1460386369865273	1.0
ADIPOR1	10	18.97965401805449	0.04052186949381354	0.1463369846132855	1.0
ANTXR2	0	32.264365999446454	0.04056153559570976	0.14642233383225978	1.0
LAG3	10	18.9754526377546	0.04057558112411433	0.1464151649176358	1.0
LAMB3	10	18.97411490484483	0.040592696781812695	0.14641907571417667	1.0
SERPINB9	0	32.19688960533511	0.0412450051314554	0.1487132380045725	1.0
EHD2	0	32.19588409984274	0.04125526706310131	0.14869153673532132	1.0
DNAJC3	0	32.17788330681012	0.041439363875727116	0.14929613817633758	1.0
WNK3	10	18.907405099120727	0.04145466271908553	0.14929236380654895	1.0
POLE3	0	32.15211659276154	0.04170415750219534	0.1501316793328932	1.0
UPF3A	0	32.139865822238846	0.04183058123786918	0.15052746195644573	1.0
CANT1	0	32.13858535217556	0.04184381492766233	0.15051577854838127	1.0
CSNK2B	0	32.1255288288725	0.04197896737271977	0.1509424838641928	1.0
AKAP2	0	32.093618661247554	0.04231091711886443	0.1520761928558004	1.0
ADCY5	10	18.839264210090246	0.04235241107598469	0.15216544860620307	1.0
TM9SF2	0	32.08930826204355	0.04235593525107134	0.15211826844201123	1.0
GPD2	0	32.08788593778851	0.04237079946252654	0.152111836278009	1.0
C5orf22	10	18.837459258166543	0.04237643138974815	0.15207227814639288	1.0
UBIAD1	10	18.820158894319956	0.04260729839490081	0.15284071337023922	1.0
CALD1	0	32.05985964505734	0.04266464078000499	0.1529863228283414	1.0
ENPEP	0	32.01854529379635	0.043101106373377274	0.1544907396028472	1.0
ZFYVE21	10	18.758159849864537	0.043444141428226946	0.15565921681600497	1.0
CD33	10	18.75253739581285	0.04352077041685776	0.15587262596751447	1.0
NUDT19	0	31.97144613178657	0.043603524409244136	0.1561077963267843	1.0
TUBB1	0	31.938225890475916	0.043961015672702795	0.15732600162178473	1.0
ACAP1	0	31.932787665654256	0.04401978508047578	0.15747461697610077	1.0
NAIP	0	31.921038773782946	0.04414699040275544	0.15786783999544457	1.0
OAF	0	31.92101018811514	0.04414730029759889	0.15780715992875563	1.0
GAS2L1	0	31.8965145958714	0.0444135660432022	0.15869683046657498	1.0
ADIPOR2	0	31.896359278806802	0.04441525886972491	0.15864081316276793	1.0
TAB1	0	31.89400531572598	0.04444092211793496	0.15867042287064112	1.0
PPP1R12B	0	31.87566598672407	0.04464131128587295	0.1593236013965915	1.0
AZGP1	0	31.875521917623004	0.04464288866158618	0.1592669930258854	1.0
LRRC53	10	18.643865295779072	0.045026366162192834	0.1605723553921543	1.0
SEC11C	0	31.811330864487925	0.0453506393801769	0.16166564772020128	1.0
SPAG5	0	31.806901517056286	0.045399840997139854	0.1617778961478261	1.0
LETMD1	0	31.802003061442758	0.045454308620760026	0.16190881459961048	1.0
LOXL4	10	18.608893239299306	0.04552091410180831	0.1620828493145479	1.0
LMNA	0	31.795106900346777	0.04553108761601668	0.16205589368553405	1.0
IVD	0	31.7814463778648	0.04568351771698707	0.16253508660274363	1.0
FAM136A	0	31.780119891026608	0.04569834330532697	0.16252452079733304	1.0
XRCC1	0	31.773062447544923	0.04577729311959483	0.1627419299576721	1.0
RPS29	0	31.75215275385608	0.046011914572475256	0.16351237968498697	1.0
TACC1	0	31.74867881447134	0.046050997656004795	0.16358761633305788	1.0
SLC25A30	0	31.73258397367523	0.046232454517376655	0.16416835424074688	1.0
PPIC	0	31.727217199275675	0.046293101389132285	0.16431981927203465	1.0
IL1RAP	0	31.698706701917	0.046616465210334114	0.16540333207691588	1.0
CD47	0	31.680403943843107	0.04682510617335766	0.16607910473059243	1.0
AUP1	0	31.63886874750088	0.0473016524356229	0.16770418932241613	1.0
TSC22D3	10	18.47780132566311	0.04741915805647752	0.16805555705464076	1.0
CEP164	10	18.473275239803403	0.04748596749655021	0.1682270524228057	1.0
SSU72	0	31.596150381061193	0.04779624415521753	0.16926060405955862	1.0
TMEM261	0	31.558545766633493	0.04823540739509402	0.17074960299976502	1.0
TMLHE	0	31.5569824238438	0.048253741759180076	0.1707483237065446	1.0
PID1	0	31.553050863421603	0.048299877010975226	0.1708453821615944	1.0
LRP6	0	31.550655394251105	0.048328005965526444	0.17087869859974952	1.0
CAV1	0	31.549671942760874	0.048339558399907105	0.17085340049007416	1.0
FASN	0	31.54853686929156	0.04835289494462882	0.170834425349824	1.0
DEF6	0	31.542032400662766	0.04842938190330512	0.1710384937830184	1.0
POLD1	0	31.539094103484537	0.048463968788185555	0.1710944827763814	1.0
TMEM63A	0	31.520919748700663	0.04867838559172288	0.17178504467125388	1.0
ALDH4A1	0	31.506959122142796	0.048843658365181356	0.17230171179961426	1.0
IVNS1ABP	0	31.493813021822323	0.048999741159896755	0.1727855737503232	1.0
STX3	0	31.486146712269505	0.0490909658931194	0.17304044442372038	1.0
SLC40A1	0	31.485731262330134	0.04909591379155747	0.17299111908113207	1.0
HSD17B10	0	31.47444067353313	0.049230550368158904	0.17339861801480727	1.0
NTAN1	0	31.465361586703544	0.04933905179208519	0.1737137856658111	1.0
ASRGL1	0	31.454290790837888	0.049471641052121575	0.17411348660078088	1.0
TADA3	0	31.454009964286158	0.049475008453114554	0.17405826356020618	1.0
THOP1	0	31.451685485714524	0.04950288912328695	0.1740892900897111	1.0
FLNA	0	31.45069104589865	0.049514821041934026	0.1740642265496472	1.0
IMPDH1	0	31.44353103942718	0.049600806270159406	0.1742994088747079	1.0
