	T137	T145	N123	T131	N145	N127	T127	N131	N135	N137	T113	T112	T125	N112	N125	T141	N113	T123	T135	N141
T113	0.14455329249991844	0.260757043328506	0.13630184815693233	0.15357367145072004	-0.07017633579015722	0.15253014187001945	0.39520853087269103	0.07994875869910016	0.05586846718018702	-0.030798439898747105	1.0	0.441160762312666	0.24944669490149743	0.17561708121983194	0.11546079637627266	0.1622502945972222	0.2663915390670845	0.40916906461547675	0.24099206541303728	0.0003695770484434263
T112	0.10301396369826393	0.0945824218169767	0.09274955075389346	0.3200945729839642	-0.1020912561303923	0.1565810716016226	0.563785946342231	0.08077837603524704	-0.03136456684549406	-0.08585466248458706	0.441160762312666	1.0	0.23701995772509651	0.10078003721984542	-0.04520275367848295	0.12461245896060018	0.2007300474980528	0.518438612417117	0.31219930235619464	-0.05561285983841168
T125	0.05511955794565992	0.15814801401215764	0.043866657043844515	0.2688704483356395	-0.13426556382470603	-0.1898229146606354	0.16258670583977897	-0.22983208660122442	-0.18104853734824955	-0.17179640550979744	0.24944669490149743	0.23701995772509651	1.0	-0.12738851237584908	-0.027255317334193896	0.23049492187205411	-0.09788108825321855	0.31844246372233415	0.3422667176136489	-0.20259310792952276
N112	0.005733871659712912	-0.028936959010742967	0.6388263114052686	-0.30644662235471976	0.5350196601105082	0.7583026915876722	0.025577609544018422	0.6539526803294937	0.6579892936326524	0.6194121567994239	0.17561708121983194	0.10078003721984542	-0.12738851237584908	1.0	0.617528012834535	-0.10043253056000426	0.8392526765725704	-0.13939793720464158	-0.2700502007631552	0.6181540754581363
N125	0.05752548452132639	0.09352267582130293	0.6221834234490284	-0.26035076658195194	0.6509007508846564	0.4687846784809999	-0.002372926794512886	0.44935807175689557	0.569828125622779	0.6471780155785103	0.11546079637627266	-0.04520275367848295	-0.027255317334193896	0.617528012834535	1.0	0.07039263645066604	0.6194664795696115	-0.1899317306258819	-0.12697959456091276	0.45748546280042574
T141	0.3626552228605067	0.27885745258351646	0.016802597921508282	0.1477813057615897	0.1567623848033982	-0.16869469497794604	0.09206167293180362	-0.05279495263664897	0.02657380207654659	0.07829806441687324	0.1622502945972222	0.12461245896060018	0.23049492187205411	-0.10043253056000426	0.07039263645066604	1.0	-0.058413425818870414	0.1544381175197148	0.31190510405491617	-0.02441865897666921
N113	0.040682548365868584	0.010007911959532058	0.634445506370991	-0.2561239916366859	0.502035666307643	0.7739679716827523	0.12451191607022301	0.6710817531841968	0.6457849071441529	0.6238167828756578	0.2663915390670845	0.2007300474980528	-0.09788108825321855	0.8392526765725704	0.6194664795696115	-0.058413425818870414	1.0	-0.02968369270566582	-0.2026584682308536	0.5508346430458718
T123	0.13515166545983165	0.11632053004391538	-0.08003127162162701	0.40124456159526184	-0.2873646350233459	-0.04462847463143907	0.5644773089910153	-0.11729181318472348	-0.1725611849730373	-0.275684717626064	0.40916906461547675	0.518438612417117	0.31844246372233415	-0.13939793720464158	-0.1899317306258819	0.1544381175197148	-0.02968369270566582	1.0	0.2551643397580712	-0.2827981815908563
T135	0.25851034899565783	0.34854483096320654	-0.07212397320529454	0.3503280945170799	-0.10175292458348208	-0.26692484290966845	0.22709212512863577	-0.1470379973541669	-0.1295223868282749	-0.15735456411185697	0.24099206541303728	0.31219930235619464	0.3422667176136489	-0.2700502007631552	-0.12697959456091276	0.31190510405491617	-0.2026584682308536	0.2551643397580712	1.0	-0.2351089315815096
N141	-0.0033635802205112036	0.02875830236929054	0.5257262625846268	-0.2418143811231738	0.5813900735929559	0.5574007875573714	-0.15537667951720704	0.6252678161258266	0.6319157893379673	0.6496404174673861	0.0003695770484434263	-0.05561285983841168	-0.20259310792952276	0.6181540754581363	0.45748546280042574	-0.02441865897666921	0.5508346430458718	-0.2827981815908563	-0.2351089315815096	1.0
