Gene	ConditionA_rep3	ConditionB_rep3	ConditionC_rep3	ConditionD_rep3	A-value	Observed Variance	M-value of ConditionA_rep3	z-score of ConditionA_rep3	M-value of ConditionB_rep3	z-score of ConditionB_rep3	M-value of ConditionC_rep3	z-score of ConditionC_rep3	M-value of ConditionD_rep3	z-score of ConditionD_rep3	Estimated Variance	z-transformed of ConditionA_rep3	z-transformed of ConditionB_rep3	z-transformed of ConditionC_rep3	z-transformed of ConditionD_rep3	Chi^2-statistic of rep3	pvalue of rep3	BH-corrected P-value of rep3
HBZ	13.65102553007691	13.891052137500738	13.714987880601099	16.81612601226066	14.518297890109851	2.3569732103224497	-0.867272360032942	-0.5649085949788647	-0.6272457526091131	-0.4085642909217304	-0.8033100095087526	-0.5232459256361072	2.2978281221508094	1.4967188115367034	0.02733642353815478	-5.245473029184631	-3.7937340443511256	-4.858613260535779	13.897820334071547	258.6629381527588	8.750506190354261e-56	7.627259395737879e-53
GSTM3	14.539952296831371	17.442769866552638	15.06681848187019	17.265552986579518	16.07877340795843	2.2203184305913863	-1.5388211111270582	-1.032715044400921	1.3639964585942081	0.9153888344228136	-1.0119549260882401	-0.6791309716705975	1.1867795786210884	0.7964571816487038	0.0260659812905548	-9.531277107213867	8.44843375627846	-6.267929878797168	7.350773229732566	255.54208826919572	4.140964470366412e-55	3.3086306118227633e-52
AHSP	12.550408925681973	14.936385427883303	12.697998594203769	15.52144076864963	13.92655842910467	2.3221823227189766	-1.3761495034226972	-0.9030617763214907	1.0098269987786335	0.6626723048813417	-1.228559834900901	-0.8062099532524863	1.5948823395449594	1.0465994246926318	0.028178193551357724	-8.198021327259921	6.0157586455831975	-7.318797633020602	9.501060314697293	247.23185166074128	2.59731068195755e-53	1.915616524508384e-50
FARP1	7.615225202970861	7.884435062320352	11.152121990823979	11.626842349751108	9.569656151466575	4.4653278796288465	-1.9544309484957134	-0.9248976036709194	-1.6852210891462223	-0.7974991125712091	1.582465839357404	0.7488721276335045	2.0571861982845334	0.9735245886086248	0.05766549796114699	-8.138836194078577	-7.017765660088694	6.589862005187758	8.56673984897952	232.3050023414744	4.3897177987099855e-50	3.006329589573667e-47
S100P	11.660636884921896	11.605761065724648	14.019709321980146	14.222833100656427	12.877235093320778	2.070879588009127	-1.2165982083988816	-0.8454146101089901	-1.2714740275961294	-0.8835478401028996	1.1424742286593688	0.7939058252048281	1.3455980073356493	0.9350566250070665	0.030528662710667946	-6.962950090401088	-7.277020576123054	6.538716709269139	7.701253957255044	203.50183114494672	7.387230572725832e-44	4.721917782086351e-41
NANP	10.988296031389753	11.467928213653378	13.261786544670963	13.97188405936848	12.422473712270643	2.024380394531019	-1.4341776808808895	-1.0079915658604808	-0.9545454986172643	-0.6708888477788266	0.8393128324003207	0.5898991927264957	1.5494103470978366	1.088981220912814	0.03204348962668251	-8.01185455534992	-5.332449251816687	4.688716348939354	8.655587458227274	189.52808368711413	7.718803376328934e-41	4.625492923265114e-38
HBE1	8.425088801563756	9.614634066102711	8.848294828493868	12.470388659153123	9.839601588828366	3.3183955046964027	-1.4145127872646093	-0.7765024040837757	-0.22496752272565423	-0.12349681375101175	-0.9913067603344974	-0.5441817772978824	2.6307870703247573	1.4441809951326678	0.0532332320021795	-6.130776167702818	-0.9750534171562599	-4.296518148057241	11.402347732916303	187.01074760370776	2.6996621964742546e-40	1.5226094788114797e-37
AKR1C2	10.889303015891121	12.971557029707121	9.179609754731523	10.184870040884464	10.806334960303557	2.5758412828640638	0.08296805558756404	0.051695336016632884	2.1652220694035638	1.3490961266449608	-1.6267252055720345	-1.0135720972756805	-0.6214649194190933	-0.3872193653859131	0.04176135034507137	0.40599776770203705	10.595346854058315	-7.960254069469561	-3.041090552290792	185.04008574292152	7.1937804748018675e-40	3.831887066244461e-37
TNF	12.817716930886405	10.089542761662367	13.333608227511466	11.640950162736663	11.970454520699226	2.074147929103863	0.8472624101871791	0.5882989526698852	-1.8809117590368594	-1.3060161817652183	1.3631537068122395	0.9465094738105346	-0.3295043579625627	-0.22879224471520396	0.03396870047664062	4.597042009732766	-10.205374709096988	7.3961440760182	-1.787811376653997	183.18168490403687	1.8127392629242375e-39	9.147654764693468e-37
HBD	13.582079440086684	15.863332073013291	12.849936434429505	13.91742321779043	14.053192791329977	1.6549370821110587	-0.471113351243293	-0.3662137686494026	1.8101392816833144	1.4070879680572552	-1.2032563569004715	-0.9353355067288502	-0.13576957353954633	-0.10553869267899955	0.027974678914589764	-2.8167146783137245	10.822545935185358	-7.1940857403244864	-0.8117455165471266	177.47518252099957	3.0952046771382473e-38	1.4838411222200758e-35
IGF2BP1	14.568069688264533	14.863519893123192	16.913115299444392	16.76349963865481	15.777051129871733	1.5199659681777058	-1.2089814416072002	-0.9806244157275888	-0.9135312367485415	-0.7409799724423702	1.1360641695726592	0.9214800361494668	0.9864485087830772	0.8001243520204879	0.026235696393819848	-7.4640293084875475	-5.639974023294703	7.013851467182351	6.090151864599866	173.80510263898537	1.919333085857669e-37	8.763126489144443e-35
TNFRSF18	11.746858179244732	11.689066663472024	9.135709062706477	8.640332542749116	10.302991612043087	2.710979480922555	1.4438665672016455	0.8769280161574172	1.3860750514289375	0.8418285129010243	-1.1672825493366101	-0.7089455449258077	-1.6626590692939711	-1.0098109841326328	0.04698560617508111	6.661079903639283	6.394466690854313	-5.385097562252124	-7.670449032241463	173.09425385430023	2.7329353288846294e-37	1.191062906061174e-34
PPBP	14.787588519381028	15.94467612712645	13.420788062508487	13.37965035024637	14.383175764815585	1.511695468263473	0.4044127545654437	0.3289218229550482	1.5615003623108645	1.2700181681167604	-0.9623877023070975	-0.7827406872281159	-1.0035254145692143	-0.8161993038436955	0.027505572002302293	2.4384536427569516	9.41524767371564	-5.8028283528220825	-6.050872963650531	164.87882543983523	1.6223738439437196e-35	6.763182789448863e-33
LGALS1	18.652091194162974	16.83939597729856	19.469120446522844	17.526587134149747	18.121798688033532	1.3651065231109751	0.5302925061294417	0.4538707747514281	-1.2824027107349707	-1.0975925647392393	1.3473217584893113	1.1531559720282636	-0.5952115538837859	-0.5094341820404554	0.02542648977432965	3.325617415138877	-8.042317661944313	8.44944375422473	-3.7327435074193143	161.06507841548472	1.0796303434112156e-34	4.3131232219278067e-32
