Gene	ConditionA_rep1	ConditionA_rep2	ConditionA_rep3	ConditionB_rep1	ConditionB_rep2	ConditionB_rep3	ConditionC_rep1	ConditionC_rep2	ConditionC_rep3	ConditionD_rep1	ConditionD_rep2	ConditionD_rep3
HLA-DPA1	2.3316282941752613	3.0106139543961983	1.5259815759928916	-3.7689968432967462	-3.341821990508337	-4.2609340862595735	6.234053380207151	4.161757024948858	6.304485212414763	-4.796684831085676	-3.8305489888367092	-3.56953270214809
C4orf48	2.5711230852291296	3.728271114568976	2.9320872978238044	-5.107232087456092	-5.684169861336563	-5.3407979989676395	4.500797540329941	3.681719996763649	5.84291681427337	-1.9646885381030093	-1.7258212499960943	-3.434206113129556
HPGD	-2.6217770546719668	-2.4677790408935047	-2.681411844959442	-6.287053254180473	-8.715958603711622	-7.009706219110156	7.4545469682619325	9.637206830149262	8.098689231712566	1.4542833405904945	1.5465308144558547	1.5924288323570106
S100A11	-0.8117802946889668	-0.6985063241901976	-0.4270769724231288	-7.217550463682923	-6.02522617473046	-6.3867077030181685	7.83560206732195	6.501256107823791	7.144525182495069	0.19372869104991897	0.2224763910968681	-0.3307405070537937
MPO	-1.0824551728171146	-1.0327387918994857	-1.203420412973152	-6.707679595338438	-7.583830098746617	-6.4343542879274835	6.203561739142997	7.158494001011347	6.172210800878401	1.586573029012511	1.4580748896347566	1.4655639000222351
ANXA6	-0.6431574089408949	-0.0992914400813364	-0.2692143526651364	-6.232723557154224	-6.021248349379502	-6.288346886222098	6.184455566238687	5.976476543242178	6.09425972663435	0.6914253998564325	0.1440632462186615	0.4633015122528833
SAMHD1	-3.355899175363855	-2.5442947528620716	-3.0431414087505546	-3.0623644258009834	-2.492934715116159	-3.7815933225596736	7.621110808325588	6.26978864538213	8.072244944265911	-1.2028472071607503	-1.2325591774038882	-1.247510212955717
S100B	-3.1793901164842033	-2.562676214870935	-3.3457436249655537	-3.087808743190996	-1.7515039470020801	-3.5916899573821013	7.648606465666598	5.288255284560132	8.18282131909724	-1.3814076059913996	-0.9740751226871104	-1.2453877367495958
ACSM1	4.124727029756657	2.4994907441964083	5.020960664882303	-8.37637581404634	-4.340955742615162	-8.729504283404184	3.1955686620393973	1.9339847115384081	4.001873441205982	1.0560801222502954	-0.0925197131196501	-0.2933298226840778
CLC	15.575872773297426	15.549897636335436	15.287544314283245	-5.1887833338404885	-5.280437312091079	-5.697562067520517	1.0878443030593523	0.0954648457171448	1.1239058399112003	-11.474933742516313	-10.364925169961454	-10.713888086673972
PRRC2B	10.10696324046792	13.361357596235926	15.678514581015193	-3.255494041259645	-5.914221229503885	-4.131473314573082	0.5672494062715422	1.281957487308998	0.4472450418666441	-7.418718605479827	-8.729093854041057	-11.994286308308775
PRG2	6.64586164872974	7.451962173738506	6.400122571505379	-5.1065476187641865	-5.926736437608226	-5.184850454663978	2.329210609594957	2.8355287659647463	2.6015063121942514	-3.868524639560489	-4.360754502095027	-3.8167784290355855
SRGN	8.098342933233349	6.775025847273978	7.622327465477984	-4.006628231206653	-3.951536188844257	-3.077490075912348	0.3808811257671121	0.4996056576848655	0.6622752004585045	-4.4725958277937945	-3.3230953161145766	-5.2071125900240975
