Gene	ConditionA_rep1	ConditionA_rep2	ConditionA_rep3	ConditionB_rep1	ConditionB_rep2	ConditionB_rep3	ConditionC_rep1	ConditionC_rep2	ConditionC_rep3	ConditionD_rep1	ConditionD_rep2	ConditionD_rep3
HLA-DPA1	2.3316282941752613	3.0106139543961983	1.5259815759928916	-3.768996843296746	-3.341821990508337	-4.260934086259574	6.234053380207151	4.161757024948858	6.304485212414763	-4.796684831085676	-3.830548988836709	-3.56953270214809
C4orf48	2.5711230852291296	3.728271114568976	2.9320872978238044	-5.107232087456092	-5.684169861336563	-5.34079799896764	4.500797540329941	3.681719996763649	5.84291681427337	-1.9646885381030093	-1.7258212499960943	-3.434206113129556
HPGD	-2.621777054671967	-2.4677790408935047	-2.681411844959442	-6.287053254180472	-8.715958603711623	-7.009706219110156	7.454546968261933	9.637206830149262	8.098689231712566	1.4542833405904945	1.5465308144558547	1.5924288323570106
S100A11	-0.8117802946889668	-0.6985063241901976	-0.4270769724231288	-7.217550463682923	-6.025226174730461	-6.386707703018168	7.83560206732195	6.501256107823791	7.144525182495069	0.193728691049919	0.2224763910968681	-0.3307405070537937
MPO	-1.0824551728171146	-1.0327387918994857	-1.203420412973152	-6.707679595338437	-7.583830098746617	-6.434354287927484	6.203561739142998	7.158494001011346	6.1722108008784	1.586573029012511	1.4580748896347566	1.4655639000222351
ANXA6	-0.6431574089408949	-0.0992914400813364	-0.2692143526651364	-6.232723557154224	-6.021248349379503	-6.288346886222097	6.184455566238687	5.976476543242178	6.09425972663435	0.6914253998564325	0.1440632462186615	0.4633015122528833
SAMHD1	-3.355899175363855	-2.544294752862072	-3.0431414087505546	-3.0623644258009834	-2.492934715116159	-3.7815933225596736	7.621110808325588	6.26978864538213	8.072244944265913	-1.2028472071607503	-1.2325591774038882	-1.247510212955717
S100B	-3.179390116484203	-2.562676214870935	-3.3457436249655537	-3.087808743190996	-1.75150394700208	-3.5916899573821013	7.648606465666599	5.288255284560133	8.18282131909724	-1.3814076059913996	-0.9740751226871104	-1.2453877367495958
ACSM1	4.124727029756657	2.499490744196408	5.020960664882303	-8.37637581404634	-4.340955742615162	-8.729504283404184	3.1955686620393973	1.933984711538408	4.001873441205981	1.0560801222502954	-0.0925197131196501	-0.2933298226840778
LYZ	-5.676989331118787	-5.86184459433392	-5.661261906914136	-6.60272508687761	-6.812654072939038	-6.726427052646382	8.213181873514934	8.362900442152338	8.011157923261086	4.066532544481484	4.311598225120596	4.376531036299431
IGF2BP1	-6.945264629623776	-6.350515293422992	-7.4640293084875475	-5.62181679451359	-5.527686268530194	-5.639974023294703	7.009893446179441	7.011996146978015	7.013851467182351	5.5571879779579465	4.866205414975171	6.090151864599866
PRTN3	-3.579229052423452	-3.791458043014018	-3.5652808489932823	-6.709928605123601	-7.860356979848776	-6.811383244852335	7.955644510689101	9.226494237242928	8.16504182144607	2.333513146857952	2.425320785619854	2.2116222723995245
C12orf56	-5.890005504613295		-4.063984609732656	-9.743294318402317		-7.226529349103937	7.047498920736346		6.747478362348715	8.585800902279255		4.543035596487899
HPGDS	-4.375769146500255	-4.47314347370641	-4.543620603597246	-4.445035328299485	-6.978021953626821	-6.384847722350376	6.911670422527048	8.540850673173674	8.238599600206243	1.9091340522727025	2.9103147541595904	2.6898687257413787
TPSB2	-7.083105697839977	-6.249680208660295	-6.285894644764928	-3.328110333564083	-3.325320194206467	-3.719413366484296	5.283140736175233	4.722881275912879	5.114660611365869	5.128075295228827	4.852119126953872	4.890647399883355
CSTA	-4.225262090870006	-3.445377729403898	-3.4734753384846786	-6.217116438068648	-4.977872634752879	-5.5001595164511246	6.796617253699581	5.613616821892161	5.868703961198162	3.645761275239063	2.809633542264616	3.104930893737641
MNDA	-4.125787662787882	-3.2807276037539608	-4.190428891684043	-6.491349494045368	-4.834317471932581	-5.4474604542418765	5.7302933551664434	4.663841083363593	5.236404678839696	4.886843801666838	3.451203992322938	4.401484667086224
PLG		-8.808051322438574			-5.498934647209472			7.748067324315508			6.558918645332495	
IGF2BP3	-4.8552481866252	-4.450437653995982	-5.152740838375312	-4.357693706609697	-4.657476676640644	-2.547119786123872	5.114245433122493	4.996246947707015	4.056591360711371	4.098696460112414	4.11166738292963	3.6432692637877815
HMGA2	-6.131757528470888		-5.519504587892373	-5.08676304429536		-3.479055826130187	7.271769898862184		6.000680317257626	3.9467506739040648		2.997880096764953
AZU1	-6.404333696922237	-6.562087870203249	-5.407953733577772	-6.256250433439413	-5.450916292038417	-5.181652013756798	3.6210216830533706	3.234386980039426	2.7462654283319035	9.0395624473083	8.778617182202218	7.843340319002644
CHI3L1	-6.219043796114976	-4.800375030777213	-4.555602653770708	-4.52550543965139	-3.341382551560636	-5.120474001635535	0.2481787308841308	-0.7570295377609333	-0.7263480851340265	10.496370504882226	8.898787120098763	10.40242474054028
FARP1	0.1051990883571487	-7.772201444961802	-8.138836194078577	-0.52353571048058	-6.212718906694138	-7.017765660088694	1.5186121959998808	5.455233430886682	6.589862005187758	-1.1002755738764474	8.52968692076926	8.56673984897952
GPR110	-5.522014674850321	-8.071406259474053	-3.917361754272601	-5.754846525707503	-5.255644172182848	-5.90958553672413	4.722226916682312	4.795026365638519	3.3111869736206145	6.55463428387552	8.53202406601839	6.515760317376116
S100P	-6.392963930982806		-6.962950090401088	-7.2202250011783615		-7.277020576123054	6.056395214124051		6.538716709269139	7.556793718037099		7.701253957255044
NANP	-6.791739014660493		-8.01185455534992	-6.111251181134343		-5.332449251816687	4.12676940243051		4.688716348939354	8.776220793364308		8.655587458227274
BPI	-6.473595954614263	-3.9358202186919855	-6.222446267223214	-5.104635957316414	-4.396335292367487	-5.253387219513922	5.432225865396821	4.36579880259831	5.726794608170112	6.146006046533834	3.966356708461152	5.749038878567012
S100A12	-7.503629098460097	-1.1549636181890564	-3.930677514718336	-7.211989592509062	-0.7177132105392632	-3.722522084690716	3.988423617327818	0.4589732994939859	2.3088626338889693	10.727195073641342	1.4137035292343398	5.344336965520072
CNRIP1	-7.035583674701568	-3.769507050395044	-5.039242855100708	-2.3735157640818207	-2.759770948246778	-2.708046804254359	1.2628316154360404	0.8454034052818621	0.9555257353277004	8.146267823347358	5.683874593359951	6.791763924027357
