	N131	T112	N137	N123	N112	T125	T127	T131	N135	T123	N125	N127	T141	N113	N145	T113	T137	T135	N141	T145
N125	0.4493580717568957	-0.04520275367848295	0.6471780155785103	0.6221834234490284	0.6175280128345348	-0.027255317334193944	-0.0023729267945128744	-0.26035076658195205	0.5698281256227791	-0.1899317306258819	1.0	0.4687846784809999	0.07039263645066607	0.6194664795696119	0.6509007508846566	0.11546079637627268	0.05752548452132639	-0.12697959456091276	0.4574854628004258	0.0935226758213029
N127	0.6747576514313782	0.15658107160162255	0.52746848366338	0.5187611290129606	0.7583026915876724	-0.18982291466063536	0.1854551298734337	-0.24505392620310568	0.5892012158571225	-0.044628474631439055	0.4687846784809999	1.0	-0.168694694977946	0.7739679716827524	0.3872010474877683	0.15253014187001954	0.015581333174533646	-0.26692484290966845	0.5574007875573713	-0.037460946323944526
T141	-0.052794952636649004	0.12461245896060019	0.07829806441687319	0.01680259792150829	-0.1004325305600043	0.23049492187205414	0.09206167293180362	0.14778130576158968	0.026573802076546603	0.15443811751971478	0.07039263645066607	-0.168694694977946	1.0	-0.05841342581887037	0.15676238480339827	0.16225029459722226	0.3626552228605067	0.3119051040549161	-0.024418658976669214	0.27885745258351646
N113	0.6710817531841967	0.2007300474980527	0.6238167828756578	0.634445506370991	0.8392526765725706	-0.09788108825321858	0.12451191607022302	-0.2561239916366859	0.6457849071441527	-0.02968369270566579	0.6194664795696119	0.7739679716827524	-0.05841342581887037	1.0	0.502035666307643	0.26639153906708446	0.040682548365868605	-0.2026584682308535	0.5508346430458719	0.010007911959532064
N145	0.5966008973480126	-0.1020912561303923	0.7735364560234668	0.5240201702348906	0.5350196601105084	-0.13426556382470609	-0.11082116527816611	-0.19919574007847335	0.6613270021860548	-0.28736463502334586	0.6509007508846566	0.3872010474877683	0.15676238480339827	0.502035666307643	1.0	-0.07017633579015718	0.11839749111032445	-0.1017529245834821	0.581390073592956	0.19369581247411105
T113	0.0799487586991002	0.4411607623126658	-0.030798439898747112	0.13630184815693233	0.175617081219832	0.24944669490149737	0.39520853087269087	0.15357367145072004	0.05586846718018704	0.4091690646154766	0.11546079637627268	0.15253014187001954	0.16225029459722226	0.26639153906708446	-0.07017633579015718	1.0	0.14455329249991847	0.24099206541303717	0.00036957704844342186	0.26075704332850597
T137	0.108515802949204	0.10301396369826395	0.17661533377470642	0.03753844248088107	0.005733871659712911	0.05511955794565989	0.14205572349810605	0.08804279829315419	0.14236951885739635	0.13515166545983165	0.05752548452132639	0.015581333174533646	0.3626552228605067	0.040682548365868605	0.11839749111032445	0.14455329249991847	1.0	0.25851034899565783	-0.003363580220511133	0.2425839109564757
T135	-0.1470379973541669	0.3121993023561947	-0.15735456411185703	-0.07212397320529453	-0.2700502007631552	0.3422667176136489	0.22709212512863583	0.3503280945170799	-0.1295223868282748	0.2551643397580712	-0.12697959456091276	-0.26692484290966845	0.3119051040549161	-0.2026584682308535	-0.1017529245834821	0.24099206541303717	0.25851034899565783	1.0	-0.2351089315815096	0.3485448309632066
N141	0.6252678161258267	-0.05561285983841164	0.6496404174673861	0.525726262584627	0.618154075458136	-0.20259310792952281	-0.15537667951720707	-0.2418143811231737	0.6319157893379672	-0.2827981815908562	0.4574854628004258	0.5574007875573713	-0.024418658976669214	0.5508346430458719	0.581390073592956	0.00036957704844342186	-0.003363580220511133	-0.2351089315815096	1.0	0.028758302369290528
T145	0.15453762078836764	0.0945824218169767	0.1933985352451552	0.06023343803934498	-0.028936959010742974	0.1581480140121577	0.17781056503349785	-0.0277738915135133	0.16161714169641936	0.11632053004391535	0.0935226758213029	-0.037460946323944526	0.27885745258351646	0.010007911959532064	0.19369581247411105	0.26075704332850597	0.2425839109564757	0.3485448309632066	0.028758302369290528	1.0
