Gene	Chi^2-statistic of rep3	pvalue of rep3	BH-corrected P-value of rep3	Chi^2-statistic of rep2	pvalue of rep2	BH-corrected P-value of rep2	Chi^2-statistic of rep1	pvalue of rep1	BH-corrected P-value of rep1	Average Chi^2-statistic	Number of detected	combined_pvalue	BH-corrected combined pvalue
SESN3	0.6130990107012206	0.893427215799609	1.0				3.758048628091923	0.2888036329721973	0.7730957113195468	2.1855738193965717	2	0.6265845206240728	1.0
YB011	0.4579781271688458	0.9280215404985346	1.0	3.912562789758849	0.2710618758443839	0.7499862851176734				2.1852704584638474	2	0.6266659692112986	1.0
WASH1	1.6384642675938743	0.6507000919086827	0.9958359906177892				2.731900349298273	0.4348333569103763	0.8962241256841713	2.1851823084460738	2	0.6266896367730623	1.0
NDUFB10	3.2804635703166207	0.3503710210706867	0.8229684835927839	1.9000960046869664	0.5933987612365161	0.95917979142391	1.9171689535499608	0.5897752879961451	0.9781921716371188	2.365909509517849	3	0.6269450836173688	1.0
FRS3							1.7445065664626958	0.6270847159424042	0.984279947938124	1.7445065664626958	1	0.6270847159424042	1.0
CLUL1	1.742985077069802	0.6274198904543951	0.9920352753424704							1.742985077069802	1	0.6274198904543951	1.0
ELP6	2.5497505135841574	0.4663671057184112	0.9092167160691595				1.8149275058843783	0.6116919433729491	0.9807996887405348	2.182339009734268	2	0.6274531337185028	1.0
RRM2	1.491621571357014	0.6842054130670128	1.0	2.7300983164814707	0.4351366095503244	0.8898506726712492	2.8701014134375216	0.4120896029870354	0.8792402825375651	2.363940433758669	3	0.6275599472148118	1.0
OR5AC2				1.7422262954917191	0.6275870858793922	0.9732986844743278				1.7422262954917191	1	0.6275870858793922	1.0
GALNT6	0.7409259921919035	0.8635380888316371	1.0	3.746147052520089	0.2902125783661823	0.7693933616479822	2.6017128574194057	0.4571893399766781	0.9118567529400884	2.3629286340437994	3	0.6278759010337767	1.0
RNF217	1.7407375686267823	0.6279152012506803	0.991837059240778							1.7407375686267823	1	0.6279152012506803	1.0
BRAT1	3.1429630556348105	0.3701039731267987	0.8428876233586096	1.0965067955954506	0.7779174233362418	1.0	2.8478665451276357	0.4156807270053937	0.8837361781189849	2.362445465452632	3	0.6280267818017495	1.0
APEX2	1.98915581232507	0.5746605044399411	0.9715825985840514				2.3688980714150505	0.4994504943732831	0.9370713130161452	2.1790269418700605	2	0.6283427354759235	1.0
GMPPA	2.234365595210585	0.5252111781049309	0.9469207927172016	2.78378035138138	0.4261769246835578	0.885560849536536	2.0657871407323096	0.5588652053405381	0.9656854990386768	2.3613110291080917	3	0.6283810415158892	1.0
MARS	1.0454354362883858	0.7902597606783835	1.0	2.94057864876783	0.4008778072553669	0.8655942375364615	3.0974334538422585	0.376845448831798	0.8554222699491308	2.361149179632825	3	0.628431584163921	1.0
GPATCH2							1.737868816365841	0.6285477672587654	0.9848967026354652	1.737868816365841	1	0.6285477672587654	1.0
MEN1	0.7905508112566424	0.8517257942587716	1.0	5.392479765167579	0.1452128341267298	0.5468750141917021	0.8985178054832456	0.8257854819343318	1.0	2.3605161273024886	3	0.6286292762758758	1.0
LEFTY2							1.73674562266615	0.6287955388811597	0.9848276664035984	1.73674562266615	1	0.6287955388811597	1.0
NSF	2.8090468478551545	0.4220128093505734	0.8832697699308661	2.8237856917718127	0.4195993218919279	0.8792242097167188	1.4468311901177726	0.6945948795162651	1.0	2.3598879099149133	3	0.6288254606497727	1.0
AFAP1L1	1.736358356415153	0.6288809818122818	0.9918918989334032							1.736358356415153	1	0.6288809818122818	1.0
SDS				2.1141159956534894	0.5490622843860709	0.9459053943404372	2.235985640099563	0.5248951463518363	0.9479198112140548	2.175050817876526	2	0.6294110181938872	1.0
FXYD5							1.7338510860770222	0.6294343330142695	0.9846095777868455	1.7338510860770222	1	0.6294343330142695	1.0
UBE2V1	2.9151241874984937	0.4048973275151906	0.8694637348747251	2.171463048605444	0.5375911109701161	0.9384470915413112	1.9863292702276143	0.5752489587826188	0.9716083514706764	2.3576388354438507	3	0.629527834978169	1.0
UPF3A							1.7332658759613695	0.6295635303913671	0.9846595367962616	1.7332658759613695	1	0.6295635303913674	1.0
RASGRF1							1.733080398420901	0.6296044817772493	0.9845714818524672	1.733080398420901	1	0.6296044817772493	1.0
GUCY2D	1.7326487744073975	0.6296997857958364	0.9920410033208148							1.7326487744073975	1	0.6296997857958364	1.0
TMX3	4.716257248593924	0.1937929005928401	0.6270962979696763	0.8063784435300718	0.847940793383839	1.0	1.5476435144198306	0.6713186787635429	0.9975679295174092	2.356759735514609	3	0.6298023801043453	1.0
EPS8L2				1.731922854755635	0.6298600908841043	0.9734813680109968				1.731922854755635	1	0.6298600908841041	1.0
MRPS15	3.3674307242705592	0.3383672706618472	0.8128953623417166	0.3176701035798484	0.9566716667019468	1.0	3.3811762373179053	0.3365032845497643	0.8218960802851182	2.3554256883894378	3	0.6302190132177588	1.0
RHBDD1	1.72930986893781	0.6304373209419458	0.9918990865099075							1.72930986893781	1	0.6304373209419458	1.0
GANC							1.728344936246395	0.6306505629690617	0.9843827165431362	1.728344936246395	1	0.6306505629690617	1.0
ABHD6	4.568694923718313	0.2062440949705113	0.6472891595997586	0.1109741137791455	0.9904887276007556	1.0	2.3808019122031063	0.4972183456321939	0.93600567705101	2.3534903165668553	3	0.6308234584064112	1.0
SMG6	4.006546928679825	0.2607580471983962	0.7251009734739624				0.3329696478109201	0.9537130678378372	1.0	2.1697582882453723	2	0.6308335146389275	1.0
RNF10							1.726385188486354	0.6310837842102008	0.984755276101121	1.726385188486354	1	0.6310837842102008	1.0
SRCIN1	3.030705772466236	0.3869151365133608	0.858537914577668				1.3049375212175147	0.727960948173832	1.0	2.167821646841875	2	0.6313541823718447	1.0
C17orf61	1.1389134312711684	0.7676894903802028	1.0	3.929479626385452	0.2691804355989916	0.747355746474803	1.986316897212584	0.5752515356138406	0.9712886168369784	2.3515699849564013	3	0.6314232211725692	1.0
MTA3	1.7703394962305674	0.6214105644176737	0.9902084912143354	2.6507012466332176	0.4486702127141918	0.8959766861800121	2.6323305671100354	0.4518497517611783	0.9083651482982864	2.3511237699912737	3	0.6315625861148098	1.0
SNIP1	3.2039737989443395	0.36123286007034	0.8347796245732515	3.2819753393444544	0.3501592310953326	0.8294332229190329	0.5670010367832906	0.90394339517577	1.0	2.350983391690695	3	0.631606430182756	1.0
