snps	gene	statistic	pvalue	FDR	beta
CTNNB1	VAMP8	-3.3198519352983795	0.0011228825589505	0.020391820588811005	-0.6651350275560101
CTNNB1	TSG101	-3.31572367721488	0.0011384736405815	0.02063310628365621	-0.37858687442816297
CTNNB1	ANKRD13A	-3.31541067423988	0.00113966395330073	0.02063310628365621	-0.44429319925766
CTNNB1	UBE2L3	-3.31499968025172	0.00114122867800607	0.02063310628365621	-0.45255587514665707
CTNNB1	GORASP2	3.31199775352317	0.00115271847901325	0.020765168093773895	0.47285870092529103
CTNNB1	NCALD	-3.31173183853082	0.0011537414498064	0.020765168093773895	-1.20176733639746
CTNNB1	MRPS16	3.30800036667606	0.0011681860059085901	0.02095945753687296	0.615763008882014
CTNNB1	DKC1	3.30703443125911	0.00117195254683852	0.02098498230369054	0.481040572634065
CTNNB1	SPATS2L	-3.30662529202984	0.0011735513461928599	0.02098498230369054	-0.6760141518669301
CTNNB1	GTPBP3	3.3044187254852098	0.0011822091176831699	0.021084299264178128	0.7361408176298209
CTNNB1	ATG2A	-3.30412093976013	0.00118338207435219	0.021084299264178128	-0.5807959258788261
CTNNB1	SIRPA	-3.3040187261147302	0.00118378493681173	0.021084299264178128	-0.7405374678425771
CTNNB1	LIPG	-3.30323442552764	0.0011868804207485401	0.021084299264178128	-0.6630148819381579
CTNNB1	DNPH1	3.30201729384277	0.0011916991610941199	0.02108553871398351	0.640082056296675
CTNNB1	EHBP1	-3.30152508053415	0.00119365305799839	0.02108553871398351	-0.6659056106459661
CTNNB1	C16orf58	3.30000586247268	0.0011997026296111	0.021143578037220823	0.744823507561932
CTNNB1	SLC43A3	-3.29973867787933	0.00120076951914978	0.021143578037220823	-0.9525799560241179
CTNNB1	PECR	3.2924852667377205	0.00123007331527787	0.021593816454279942	1.1628994844384999
CTNNB1	MGST2	3.29212831478329	0.00123153247736187	0.021593816454279942	0.6976317511384911
CTNNB1	METAP1	3.2914609771337098	0.0012342647764496	0.021593816454279942	0.55242873961243
CTNNB1	MINPP1	3.2907039876463102	0.00123737098147225	0.02159489746027496	0.7491024601446691
CTNNB1	APAF1	-3.2897877283404906	0.00124114047915319	0.021618542237078812	-0.4224732067597561
CTNNB1	RRAS2	-3.28964632405885	0.00124172317021063	0.021618542237078812	-0.7908457413313991
CTNNB1	SMPD4	3.28832432697166	0.00124718313614852	0.021639594220809497	0.35828914337026
CTNNB1	POM121C	3.2882411491862	0.00124752741518207	0.021639594220809497	0.350059708932612
CTNNB1	PTPRJ	-3.2831463819356097	0.00126878475653423	0.02192940140009838	-0.53529292452621
CTNNB1	VEZT	-3.2781835636886605	0.00128981576779046	0.022249943292924835	-0.51969014182217
CTNNB1	TCAF2	-3.27639278402659	0.00129748401933539	0.022339181586749513	-0.9573329234065029
CTNNB1	RBP7	3.2740141688307705	0.0013077351267330901	0.022472461784340415	0.9675680123206339
CTNNB1	NUDT6	3.27339958966259	0.00131039601735227	0.022475048933630025	0.879861770338915
CTNNB1	LMO7	3.27242446734557	0.00131462827479434	0.02250452570599183	0.643393966253648
CTNNB1	DSG2	-3.26663676991302	0.0013400114843950199	0.0228952725568485	-0.972986604623655
CTNNB1	ODR4	3.26569324732225	0.0013441925345184	0.022922963355320448	0.43303191125084006
CTNNB1	VCPIP1	3.2654653780099303	0.0013452041163822801	0.022922963355320448	0.460581545585561
CTNNB1	S100A14	-3.2650613591284703	0.00134699942367442	0.022922963355320448	-1.89974735969904
CTNNB1	LSR	-3.2648353635295	0.0013480046358339997	0.022922963355320448	-0.735064847724494
CTNNB1	RSF1	-3.2645688806113196	0.00134919083035701	0.022922963355320448	-0.39737267505683205
CTNNB1	ACACB	-3.26272290502666	0.00135743454723792	0.02293039905928509	-1.074340422289
CTNNB1	SMPDL3B	-3.2620842894433797	0.0013602973676343699	0.02293548461851321	-1.09363361549689
CTNNB1	CAP2	3.26069575597532	0.00136654137590116	0.02299745289181031	1.0016030104152
CTNNB1	CARS	-3.2596081308645397	0.0013714508791181801	0.02303677245918399	-0.596296606723974
CTNNB1	BRF1	-3.25839839955077	0.00137693085795369	0.023085509309474506	-0.69947995539424
CTNNB1	TACO1	3.2574527494836896	0.0013812287632410099	0.023114282462236936	0.8235589172748609
CTNNB1	GCAT	3.2571131301681397	0.0013827753527152	0.023114282462236936	1.3183201424133402
CTNNB1	MEST	-3.2555529756336803	0.00138990086742442	0.023172779266388888	-0.7320484239900121
