Gene	T141	Set2_MIX	M value	A value	estimated variance	adjust mvalue	pvalue	z statistic
TXNDC15	9.067281793455516	6.5608558514095225	2.5064259420459933	6.5608558514095225	0.20211613644374213	2.256585035868111	5.183497907497172e-07	5.019393107011066
TXNDC17	17.263831967046517	17.340465369424034	-0.07663340237751726	17.340465369424034	0.10316874113429081	-0.10591199351247199	0.7415967462992785	-0.32973957732292536
TXNDC2	12.107038777996117	12.155150312237001	-0.04811153424088488	12.155150312237001	0.17328080830669926	-0.1457861179538752	0.7261736011027644	-0.3502199962035994
TXNDC5	18.33721866400355	18.980071602953256	-0.6428529389497051	18.980071602953256	0.12254755569353287	-0.611882267539837	0.0804820708843174	-1.7478958079435982
TXNDC9	15.84828845675376	15.077379827007535	0.7709086297462253	15.077379827007535	0.12864510956610392	0.7315118155951716	0.04139968529763107	2.0395046732259337
TXNIP	13.88875600957239	13.060379054143402	0.8283769554289879	13.060379054143402	0.16096915413643992	0.7553090478570796	0.05975735848463714	1.8825796342849488
TXNL1	17.18589440108577	16.928126960288335	0.2577674407974335	16.928126960288335	0.10241110604735063	0.2195700142378208	0.4926380149383145	0.6861190881236655
TXNL4A	16.425003482023566	16.074653500900418	0.3503499811231485	16.074653500900418	0.11013955765345373	0.30736169587648815	0.3543716353948755	0.9261430665726459
TXNL4B	15.403609579271318	15.637322346935477	-0.2337127676641586	15.637322346935477	0.11767055431140791	-0.27492633798209226	0.4228647558687886	-0.8014610991370954
TXNRD1	18.995472757176906	19.344684219506163	-0.3492114623292579	19.344684219506163	0.12782031412926806	-0.30338381019507416	0.39611539936655116	-0.8485793538581239
TXNRD2	17.67087405583872	18.150803753330468	-0.4799296974917482	18.150803753330468	0.11085091743473516	-0.48230176928050733	0.1474486423836992	-1.4486024293421422
TXNRD3	15.747756551023208	15.517152838222403	0.23060371280080538	15.517152838222403	0.11996271834165972	0.18995588905358146	0.5833893915694288	0.5484406199135408
TYK2	17.268750183950644	16.785413926085177	0.4833362578654672	16.785413926085177	0.10282611977582462	0.4430775622563252	0.16704988290264178	1.3817454202145945
TYMP	19.61261029133763	18.90004090877079	0.7125693825668407	18.90004090877079	0.12139021088781046	0.7402790190403326	0.03360920673153627	2.1247293048437785
TYSND1	15.279737843123002	13.806671503953543	1.473066339169458	13.806671503953543	0.1504402325816746	1.418652963076061	0.0002546049824232863	3.6575828418955507
TYW1;TYW1B	15.29598251242312	15.626441164569615	-0.33045865214649517	15.626441164569615	0.11787529113677284	-0.3716199796125836	0.2790749584990597	-1.0823997068474747
TYW5	14.77135051664257	14.6807334092413	0.09061710740127005	14.6807334092413	0.13619931460657228	0.04982879982009747	0.892597324329516	0.13501840267817022
U2AF1	16.616637838737766	16.193808551935987	0.4228292868017789	16.193808551935987	0.1084040990496343	0.37963690567556846	0.24889266013176048	1.1530431836213457
U2AF2	18.19037598883112	18.160164198796434	0.03021179003468788	18.160164198796434	0.1109717031465535	0.028199054191097972	0.9325394221252946	0.0846502833975066
U2SURP	18.077033806568046	18.087718375456372	-0.01068456888832614	18.087718375456372	0.11005021280048324	-0.015458209826834324	0.9628339272878238	-0.0465976220686165
UACA	19.290717590193232	19.027563422119183	0.263154168074049	19.027563422119183	0.12323434731501581	0.29606000302428354	0.3990262066326816	0.8433616617514541
UAP1	18.12121155809608	17.70098564751004	0.4202259105860371	17.70098564751004	0.10578385615590641	0.40170246667509674	0.21680103652874116	1.2350791816413969
UAP1L1	16.308967428868723	16.657777640478834	-0.34881021161011105	16.657777640478834	0.10352782777278896	-0.39041322566601144	0.2249854892737987	-1.2133775925890469
UBA1	19.698339437118907	19.862935772398252	-0.16459633527934514	19.862935772398252	0.13531488541750036	-0.09765133014608507	0.7906521604418458	-0.26546384245357374
UBA2	18.88750122379233	18.5829218879515	0.3045793358408311	18.5829218879515	0.1168077888399052	0.31937255676625315	0.3500655753856988	0.9344621037611841
UBA3	16.738961392727955	16.672420016181082	0.06654137654687275	16.672420016181082	0.10343162369430559	0.02506914941854388	0.93786828184359	0.07794942710445152
UBA5	17.267857208884127	17.117480107273817	0.15037710161031015	17.117480107273817	0.10242164273450674	0.11576443464373642	0.7175570692123909	0.3617256340514923
UBA6	19.37947790777941	18.752938649794057	0.6265392579853533	18.752938649794057	0.11926292663673807	0.648254874156469	0.060501043145963024	1.8771244202408885
UBA7	18.743460242552832	18.139797392195046	0.6036628503577859	18.139797392195046	0.11070952769545733	0.6008692189972837	0.07093801507344144	1.8058740518709362
UBAC1	16.12875400400187	16.140183345121873	-0.011429341120003045	16.140183345121873	0.10916458745798557	-0.05455264057202569	0.8688569501163721	-0.16511057435073084
UBAC2	15.63168892321253	15.55915797615014	0.07253094706238983	15.55915797615014	0.11915419345229711	0.03168916561443258	0.926854683920805	0.09180284463002195
UBAP1	15.49142148184513	15.122018016644288	0.36940346520084155	15.122018016644288	0.12776219537884104	0.32997931182782686	0.3559143595787376	0.9231781768383311
UBAP2	16.293150028387956	16.368642433666867	-0.07549240527891143	16.368642433666867	0.10618333442738037	-0.11859828329866645	0.7158900277302997	-0.36395712277888614
UBAP2L	17.327268708024874	17.49983754693369	-0.17256883890881625	17.49983754693369	0.10413097481933728	-0.19738649324929763	0.540746529400238	-0.6116844841911876
UBASH3B	14.789782316556057	14.95532327766453	-0.16554096110847283	14.95532327766453	0.1310367491536409	-0.20502946295302632	0.5711250198359392	-0.5663954018529629
UBD	15.633575760118308	15.673529727692356	-0.03995396757404812	15.673529727692356	0.11699389437976038	-0.08134163156507923	0.812027966361769	-0.2378106393554666
UBE2A	14.72390115236452	14.359472974879466	0.3644281774850544	14.359472974879466	0.14177775103360957	0.32011438639682444	0.3952356111892297	0.8501609461187047
UBE2B	13.026087214650852	12.916156404256064	0.10993081039478803	12.916156404256064	0.16293366963395184	0.03295544760362973	0.9349301817050646	0.08164353399588588
UBE2E2	11.613557592419824	11.688431474478609	-0.07487388205878531	11.688431474478609	0.17962657424738887	-0.18524334439571533	0.6620559695136368	-0.437076361941213
UBE2E3	15.846590915449589	15.537267938071217	0.3093229773783719	15.537267938071217	0.1195746531464357	0.26858298055018415	0.4373298566503375	0.7767100491453636
UBE2F	15.72172431573522	15.38988108616718	0.33184322956803847	15.38988108616718	0.1224489874619171	0.2917341371624024	0.4044502201463014	0.8336997125735981
UBE2G1	15.038198165734313	15.284482959908464	-0.2462847941741515	15.284482959908464	0.12453511398112713	-0.28603380269825496	0.4176331054686171	-0.8105343945645618
UBE2G2	15.833131386996856	16.19118496677886	-0.3580535797820037	16.19118496677886	0.10844048982710505	-0.4012435184356562	0.2230481314954218	-1.2184628563986406
UBE2H	16.588018326741256	16.938984947861588	-0.3509666211203317	16.938984947861588	0.1023949138900685	-0.38898392471874416	0.2241354460509528	-1.2156049540878913
UBE2I	17.144849999304505	16.84385215622518	0.3009978430793261	16.84385215622518	0.10260995673378129	0.26151319784737054	0.41427584295921427	0.8163922233844478
UBE2J1	15.65660060682249	15.601877035432727	0.05472357138976314	15.601877035432727	0.11833970095748725	0.01367977049055985	0.9682795609934757	0.03976615284366026
UBE2J2	13.737615020186935	13.79414244747827	-0.05652742729133564	13.79414244747827	0.15062568871100854	-0.11121654734025199	0.7744470643550814	-0.28656284860575726
UBE2K	16.5845799432831	16.774254154958307	-0.18967421167520726	16.774254154958307	0.10287489076456244	-0.23006938106477376	0.47318564510437944	-0.7173054500740421
UBE2L3	16.52559989771769	16.36201026563621	0.1635896320814787	16.36201026563621	0.10625982438595416	0.1204706515056998	0.7117029060616062	0.36957000183915323
