,0
999,ZNF280D
1000,ZNF316
1001,ZNF326
1002,ZNF330
1003,ZNF414
1004,ZNF428
1005,ZNF460
1006,ZNF639
1007,ZNF703
1008,ZNF787
1009,ZRANB2
1010,ZRSR2
