snps	gene	statistic	pvalue	FDR	beta
TP53	CASP6	-3.23610744616339	0.0014816281560805	0.03283420020145722	-0.484276933207304
TP53	UGT1A9	3.2356576698708	0.0014838149820324	0.03283420020145722	0.995123689543417
TP53	HMBOX1	-3.23425288153754	0.0014906644559455	0.03287172136472921	-0.483985048933221
TP53	TACC1	-3.22978348304896	0.001512652518725	0.0332746388209949	-0.613466669341325
TP53	DDI2	3.22810121668249	0.0015210066101221	0.03337640240299795	0.522219439334949
TP53	TARSL2	-3.22617629962357	0.0015306183302222	0.0335051978251329	-0.439128793498075
TP53	USP28	3.2235703957066	0.0015437204443039	0.03370958326305565	0.396606336411136
TP53	GAMT	-3.22261395732089	0.0015485553872149	0.03373288657356448	-0.621875901794703
TP53	LOH12CR1	-3.22249081842742	0.0015491788953152	0.03373288657356448	-0.284726501167445
TP53	FBXL6	-3.22011099060091	0.0015612749872184	0.033845266248344635	-0.565979123434456
TP53	GTF2F1	-3.21567040829845	0.0015840805010053	0.03425669740459046	-0.335170621609905
TP53	CDK5RAP2	3.21163835970603	0.0016050557590271	0.034626660748360544	0.330271626788155
TP53	ANGPTL3	-3.21146400546797	0.0016059685694317	0.034626660748360544	-0.96652785251394
TP53	NDUFA7	-3.21005456291887	0.0016133652678601	0.034638990990770925	-0.533324890958871
TP53	LRRC47	3.20921643622652	0.0016177787214573	0.034650652854562695	0.359977986601595
TP53	PSPC1	-3.20907809069409	0.0016185083068914	0.034650652854562695	-0.512519902614438
TP53	SHB	-3.20534378700777	0.0016383175987812	0.03492347014735258	-0.439914465493054
TP53	SIGIRR	-3.20387094956319	0.0016461922956383	0.03500798010178076	-0.618539400473098
TP53	WRNIP1	3.19839726776638	0.0016757672001657	0.035552473324842446	0.434844388155335
TP53	GK;GK3P	-3.19510076773632	0.001693815891468	0.03585043422296219	-0.763992645883998
TP53	MTRF1	-3.19504266303171	0.0016941356340727	0.03585043422296219	-0.437803181173978
TP53	PSMG1	3.19391614513288	0.0017003458044448	0.03585043422296219	0.51195171405121
TP53	RANBP1	3.19278670692503	0.0017065932915646	0.03586650173562879	0.470709465037475
TP53	GSTA4	3.19217006058001	0.0017100132604623	0.03586650173562879	0.780085870277195
TP53	EFHD1	3.1921670865948	0.0017100297698273	0.03586650173562879	0.771886066124056
TP53	F11	-3.1909712615547	0.0017166801136478	0.03586650173562879	-0.565228729352162
TP53	MICU2	-3.18993952112392	0.0017224372241976	0.03586650173562879	-0.541278852985116
TP53	CKAP5	3.18927028603953	0.0017261811354522	0.03586650173562879	0.253768435909219
TP53	UBQLN2	3.18906549151127	0.0017273283293885	0.03586650173562879	0.471922722379457
TP53	SWAP70	3.18695438199347	0.0017391954247932	0.0359607774553661	0.362793295796262
TP53	RPL35A	-3.18571541891814	0.0017461951593542	0.0360223162711939	-0.208080442481089
TP53	BTF3	-3.18457744352662	0.0017526473806961	0.036072303446832606	-0.278770894445858
TP53	FNTB	-3.18420694348239	0.0017547528549292	0.036072303446832606	-0.381907082348949
TP53	NUCB1	-3.18208687311143	0.0017668459975642	0.03619810575787708	-0.474347556380763
TP53	KIF23	3.17997925972576	0.0017789447237558	0.03636276737850611	0.649335804724256
TP53	TRAPPC13	-3.17967128918515	0.0017807190496422	0.03636276737850611	-0.224299976051355
TP53	RPL19	-3.17883647888964	0.0017855369473598	0.03636276737850611	-0.235843629127825
TP53	GLMN	3.1781529874357	0.0017894905506963	0.03636276737850611	0.399796102121732
TP53	ERLEC1	-3.17792273640815	0.0017908242483246	0.03636276737850611	-0.433953113092171
TP53	CDK17	-3.17482923425837	0.0018088326197479	0.03655638475079672	-0.227118849136833
TP53	ABCA1	-3.17433456430094	0.0018117278042229	0.03655638475079672	-0.48576852235111
TP53	TMED2	-3.17421432521147	0.0018124321840536	0.03655638475079672	-0.440418472428528
TP53	HP1BP3	3.17347390729322	0.0018167752739607	0.03655638475079672	0.397306686352231
TP53	NDUFS5	-3.17027527073268	0.0018356488011948	0.036766361783214865	-0.511357415277237
TP53	GOLPH3	-3.16956443306391	0.001839867722036	0.03676860650756319	-0.517207354166296
TP53	DXO	3.16849569189576	0.0018462277823145	0.036813535267398036	0.496414727737958
TP53	KIDINS220	3.16670891782417	0.0018569064142273	0.036944184725726706	0.426066006631222
TP53	MT-CO3	-3.16642058240501	0.0018586350063229	0.036944184725726706	-0.559070255380445
TP53	GTF3C1	3.16375896394607	0.0018746622348157	0.03713241369094018	0.292807981256256
TP53	XPO7	3.16057897296707	0.001893978933261	0.03743221498782723	0.395204128172039
TP53	PDCD2L	3.15269715553675	0.0019426551529681	0.03830967309366387	0.466019494868275
TP53	PRTFDC1	3.14985035017453	0.0019605195974207	0.03857699330924732	0.532322872248891
TP53	SH3D19	-3.14913963993333	0.0019650031802134	0.03858042428168985	-0.380529362906694
TP53	SMYD3	-3.14832554959742	0.0019701506233309	0.038596845800178435	-0.462378816679515
TP53	SSFA2	-3.14419228672725	0.0019964783345771	0.039027228230281166	-0.334881627422178
TP53	TDO2	-3.14154579200053	0.0020135065658968	0.03927434484634869	-0.917206541792466
TP53	BIRC6	3.14061420631193	0.0020195325819182	0.03930625044763835	0.257323857904345
TP53	ADH5	-3.14039555475252	0.0020209493613135	0.03930625044763835	-0.489378553915287
TP53	CDC37L1	-3.14021287797624	0.002022133743744	0.03930625044763835	-0.475047492770588
TP53	C12orf45	3.14005793146886	0.0020231388413887	0.03930625044763835	0.455270445393296
TP53	SRGAP2;SRGAP2B	3.13991396938983	0.0020240731006946	0.03930625044763835	0.409590170852714
TP53	KIAA0391	-3.13555341502242	0.002052561572739	0.039519534969316705	-0.465956207805635
