Gene	ConditionA_rep2	ConditionB_rep2	ConditionC_rep2	ConditionD_rep2	A-value	Observed Variance	M-value of ConditionA_rep2	z-score of ConditionA_rep2	M-value of ConditionB_rep2	z-score of ConditionB_rep2	M-value of ConditionC_rep2	z-score of ConditionC_rep2	M-value of ConditionD_rep2	z-score of ConditionD_rep2	Estimated Variance	z-transformed of ConditionA_rep2	z-transformed of ConditionB_rep2	z-transformed of ConditionC_rep2	z-transformed of ConditionD_rep2	Chi^2-statistic of rep2	pvalue of rep2	BH-corrected P-value of rep2
TIPRL	11.244988613024573	11.06372819604651	11.212864734921009	11.02318920356318	11.136192686888819	0.011912015389983233	0.10879592613575362	0.9968274999945774	-0.0724644908423091	-0.6639457910821577	0.07667204803219008	0.7024969470274621	-0.11300348332563814	-1.0353786559399143	0.0374196582393837	0.5624225500253358	-0.3746065240987506	0.3963575687211155	-0.584173594647719	0.9550072836405005	0.8121369983309062	1.0
QARS	13.744033862415199	13.694734556687042	13.818434900084148	13.602153029605166	13.714839087197888	0.008228922356802016	0.029194775217311175	0.32183528236454423	-0.02010453051084582	-0.22162689062007357	0.10359581288625996	1.142012138948218	-0.11268605759272177	-1.2422205306926495	0.025860758048713607	0.18154509108923478	-0.12501821972356178	0.6442012704981372	-0.7007281418637882	0.9546033810727386	0.8122346794783782	1.0
SMEK2	7.34507817605464	7.366876944304808	7.548458604922738	7.769910916761431	7.507581160510904	0.03889758763048926	-0.162502984456264	-0.8239483862869815	-0.14070421620609608	-0.713420816698844	0.04087744441183361	0.20726329717181877	0.26232975625052646	1.3301059058140068	0.12227718580295972	-0.46471706860113515	-0.402378153939171	0.11689906005440698	0.7501961624858992	0.954329805066901	0.8123008414819888	1.0
NDUFAF3	9.425154997830159	9.75265930278245	9.566648998646366	9.580475044464723	9.581234585930925	0.017986862543001473	-0.1560795881007664	-1.1637733355581859	0.17142471685152394	1.2781909342214364	-0.014585587284559054	-0.10875424372767808	-0.0007595414662020517	-0.005663354935598888	0.05655351108647173	-0.6563210353361982	0.7208479277480511	-0.06133298956047977	-0.0031939028513880145	0.9541509729872887	0.812344090248145	1.0
TUBGCP3	10.456503482285571	10.191616849102303	10.361511004611064	10.433155858991373	10.360696798747577	0.014339309441733339	0.09580668353799382	0.8000768204365687	-0.1690799496452744	-1.411978199392737	0.0008142058634863503	0.006799392426318934	0.072459060243796	0.6051019865298641	0.045089189971482216	0.4511901294759137	-0.7962618217755058	0.0038344052356302553	0.3412372870639702	0.9540630105000285	0.8123653630358127	1.0
TRPC7	7.025366705101552	6.870918062216031	7.021926937994305	7.3806476403202	7.074714836408022	0.04678326865433535	-0.04934813130646987	-0.2281526044250533	-0.20379677419199105	-0.9422193621996627	-0.052787898413717116	-0.24405577650790786	0.30593280391217803	1.414427743132624	0.14716200401631194	-0.12863906209559214	-0.5312506308972997	-0.1376057322164026	0.7974954252092945	0.9537095318941784	0.8124508476045714	1.0
RPL21	15.346783597351902	15.326179775942068	15.178137608821945	15.369218830025643	15.305079953035388	0.007470850257315582	0.04170364431651308	0.482490750360502	0.021099822906679222	0.24411462244047297	-0.1269423442134432	-1.468660782909402	0.06413887699025445	0.7420554101084682	0.023506224964841293	0.27200855528687934	0.13762184192095314	-0.8279708936745388	0.41834049646672944	0.9534729972792153	0.8125080502600832	1.0
DCTN3	11.193058328738243	11.078931076605938	11.147834672951877	11.335460651127843	11.188821182355976	0.01175893883534892	0.004237146382266133	0.0390741376688279	-0.1098901057500381	-1.0133851260108175	-0.040986509404099536	-0.3779695971145479	0.14663946877186618	1.3522805854564885	0.03700104618291422	0.022027563717166243	-0.5712833798771183	-0.21307570378538068	0.7623315199453051	0.953400515532892	0.8125255789112518	1.0
PSMD9	11.368094230603534	11.58348394246615	11.40503384517914	11.54643161498949	11.475760908309578	0.011064343939283489	-0.10766667770604421	-1.0235721913997071	0.1077230341565727	1.0241079643686144	-0.07072706313043753	-0.6723923923550517	0.0706707066799126	0.6718566193861781	0.03490634378163786	-0.5762741400784475	0.5765757818283197	-0.3785588852016641	0.3782572434518109	0.9509168885029814	0.813126188715707	1.0
MAP7D3	7.827967541423289	7.531936556180679	7.393364666556798	7.713274418622163	7.616635795695733	0.0370080294915922	0.21133174572755653	1.0985422380094454	-0.08469923951505365	-0.44028260786960616	-0.22327112913893465	-1.160605402859732	0.09663862292643	0.5023457727198835	0.11682792931204736	0.6182888305246562	-0.24780277835589604	-0.6532196327152704	0.28273358054650505	0.9503214610457684	0.8132701739223209	1.0
